Buy Date,Sell Date,Shares,Entry (VND),Exit (VND),Hold Days,Exit Reason,Invested (VND),P/L (VND),ROI (%)
2025-07-30,2025-08-04,5668500,105.1,105.4,3,MANUAL,"595,759,350","1,697,914",0.285
2025-08-08,2025-08-15,4907600,104.6,100.3,5,SL,"513,334,960","-21,103,200",-4.111
2025-08-18,2025-08-21,4394100,99.6,100.5,3,MANUAL,"437,652,360","3,956,377",0.904
2025-08-22,2025-08-26,4568100,98.1,98.9,2,MANUAL,"448,130,610","3,652,264",0.815
2025-08-27,2025-08-29,4309400,104.0,100.4,2,MANUAL,"448,177,600","-15,515,909",-3.462
2025-09-08,2025-09-15,4406900,101.0,100.7,5,MANUAL,"445,096,900","-1,321,938",-0.297
2025-10-01,2025-10-06,4825700,92.5,94.4,3,MANUAL,"446,377,250","9,168,589",2.054
2025-10-07,2025-10-09,5459700,94.6,93.1,2,MANUAL,"516,487,620","-8,191,494",-1.586
2025-10-10,2025-10-14,6016900,95.2,91.4,2,SL,"572,808,880","-22,866,530",-3.992
2025-10-15,2025-10-21,5509900,88.8,91.9,4,MANUAL,"489,279,120","17,080,734",3.491
2025-11-03,2025-11-10,3621200,104.0,95.1,5,MANUAL,"376,604,800","-32,229,839",-8.558
2025-11-11,2025-11-14,4070500,95.2,98.9,3,MANUAL,"387,511,600","15,062,576",3.887
2025-11-24,2025-12-04,4685400,99.3,97.4,8,MANUAL,"465,260,220","-8,900,428",-1.913
2025-12-12,2025-12-16,7172100,93.8,94.8,2,MANUAL,"672,742,980","7,171,440",1.066
2025-12-23,2025-12-31,6764400,94.1,95.7,6,MANUAL,"636,530,040","10,821,011",1.7
