Buy Date,Sell Date,Shares,Entry (VND),Exit (VND),Hold Days,Exit Reason,Invested (VND),P/L (VND),ROI (%)
2025-07-30,2025-08-05,18970100,24.95,25.9,4,MANUAL,"473,303,995","18,023,416",3.808
2025-08-06,2025-08-08,17448800,26.65,27.45,2,MANUAL,"465,010,520","13,959,616",3.002
2025-08-12,2025-08-14,15219700,28.0,27.65,2,MANUAL,"426,151,600","-5,326,895",-1.25
2025-08-18,2025-08-22,15261000,27.9,25.5,4,SL,"425,781,900","-36,625,759",-8.602
2025-08-25,2025-08-29,14289100,25.5,26.95,4,MANUAL,"364,372,050","20,718,195",5.686
2025-09-03,2025-09-05,15109700,27.65,28.25,2,MANUAL,"417,783,205","9,065,896",2.17
2025-09-08,2025-09-10,13131300,28.4,28.3,2,MANUAL,"372,928,920","-1,312,710",-0.352
2025-09-11,2025-10-03,12713900,28.65,27.1,16,MANUAL,"364,253,235","-19,706,100",-5.41
2025-10-06,2025-10-10,18125100,28.7,29.05,4,MANUAL,"520,190,370","6,346,323",1.22
2025-10-14,2025-10-16,19246100,27.85,27.7,2,MANUAL,"536,003,885","-2,889,061",-0.539
2025-10-20,2025-10-24,16253300,25.6,25.9,4,MANUAL,"416,084,480","4,876,510",1.172
2025-10-28,2025-11-05,16569800,26.35,25.8,6,MANUAL,"436,614,230","-9,112,139",-2.087
2025-11-06,2025-11-11,17521600,25.65,26.1,3,MANUAL,"449,429,040","7,882,985",1.754
2025-11-12,2025-11-17,22354700,26.55,26.8,3,MANUAL,"593,517,285","5,590,933",0.942
2025-11-18,2025-11-21,24648600,27.05,26.9,3,MANUAL,"666,744,630","-3,700,433",-0.555
2025-11-24,2025-12-03,24852900,26.65,26.3,7,MANUAL,"662,329,785","-8,696,390",-1.313
2025-12-09,2025-12-11,29157700,25.95,26.05,2,MANUAL,"756,642,315","2,913,073",0.385
2025-12-15,2025-12-17,29107200,25.8,25.9,2,MANUAL,"750,965,760","2,913,747",0.388
