Buy Date,Sell Date,Shares,Entry (VND),Exit (VND),Hold Days,Exit Reason,Invested (VND),P/L (VND),ROI (%)
2025-07-31,2025-08-07,8510600,58.5,58.1,5,MANUAL,"497,870,100","-3,405,431",-0.684
2025-08-08,2025-08-28,7592400,58.1,58.2,14,MANUAL,"441,118,440","758,724",0.172
2025-09-04,2025-09-15,8837600,59.1,60.2,7,MANUAL,"522,302,160","9,720,043",1.861
2025-09-16,2025-09-19,7722800,61.9,59.2,3,SL,"478,041,320","-20,852,162",-4.362
2025-09-22,2025-10-03,7064900,58.7,58.5,9,MANUAL,"414,709,630","-1,414,160",-0.341
2025-10-07,2025-10-20,7807900,58.7,54.9,9,SL,"458,323,730","-29,671,878",-6.474
2025-10-21,2025-10-24,5576300,56.6,58.0,3,MANUAL,"315,618,580","7,805,247",2.473
2025-11-10,2025-11-13,8641100,57.1,61.7,3,MANUAL,"493,406,810","39,748,853",8.056
2025-11-14,2025-11-21,8090500,62.9,59.8,5,SL,"508,892,450","-25,078,220",-4.928
2025-11-25,2025-11-28,6172300,62.0,63.9,3,MANUAL,"382,682,600","11,729,222",3.065
2025-12-15,2025-12-18,5786400,62.1,63.8,3,MANUAL,"359,335,440","9,838,604",2.738
