period,profit_before_tax,depreciation_of_fixed_assets_and_properties_investment,provisions,foreign_exchange_loss_from_revaluation_of_monetary_items_denominated_in_foreign_currencies,"Lãi, lỗ từ hoạt động đầu tư, tài chính",Chi phí đi vay,loss_from_disposal_of_fixed_asset,interest_income_and_dividends,allocation_of_goodwill,operating_profit_before_changes_in_working_capital,decrease_in_receivables,decrease_in_inventories,"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)","Tăng, giảm chi phí chờ phân bổ",changes_in_available_for_sale_securities,Chi phí đi vay đã trả,corporate_income_tax_paid,other_receipts_from_operating_activities,other_payments_for_operating_activities,Lưu chuyển tiền thuần từ hoạt động kinh doanh,payment_for_fixed_assets_constructions_and_other_long_term_assets,receipts_from_disposal_of_fixed_assets_and_other_long_term_assets,loans_purchases_of_other_entities_debt_instruments,receipts_from_loan_repayments_sale_of_other_entities_debt_instruments,payments_for_investment_in_other_entities,collections_on_investment_in_other_entities,dividends_interest_and_profit_received,increase_in_term_deposit,purchases_of_minority_shares_of_subsidiaries,other_receipts_from_investing_activities,other_payments_for_investing_activities,Lưu chuyển tiền thuần từ hoạt động đầu tư,receipts_from_equity_issue_and_owners_capital_contribution,proceeds_from_borrowings,principal_repayments,repayment_of_financial_leases,dividends_paid_profits_distributed_to_owners,other_receipts_from_financing_activities,other_payments_for_financing_activities,net_cash_flows_from_financing_activities,net_cash_flows_during_the_period,cash_and_cash_equivalents_at_beginning_of_the_period,exchange_difference_due_to_re_valuation_of_ending_balances,cash_and_cash_equivalents_at_end_of_the_period,loss_from_investment_activities,interest_expenses,adjustments_for,increase_in_payables,decrease_in_prepaid_expenses,interest_paid,payment_for_share_repurchases
2026-Q1,3014396468576,537336950720,-16770329348,12172815226,-389344152326,118301437284,,,60819781207,3336912971339,-127949065402,-1036622597598,327879637282,-126150419127,,-80973790732,-1579997498166,,-443772240080,269326997516,-422226112689,29442593966,-661239673680,,,,173027287654,,,,,-880995904749,,5616726419580,-4720962247560,,-55837540,,,895708334480,284039427247,1794879718871,-1322852657,2077596293461,,,,,,,
2025-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-Q1,1951296195523,511791212722,2485756955,4698502109,-343185308883,75155207673,,,60819781207,2263061347306,915922733863,-1409385906048,-429866370896,-61949344633,,-58880104706,-931863109189,,-411754049754,-124714804057,-417018396950,25697543325,,774829727404,,983316000,157981771666,,,,,542473961445,,4902420919300,-3963677101750,-1044977722500,,,,-106233904950,311525252438,2225943732075,555332113,2538024316626,,,,,,,
2024-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-Q1,2705840401722,566009106502,1299112526,-2331136075,,,,,,3012309463526,751974551131,-762680286964,,,,,-846730006438,,-531465803150,907549198441,-378452282107,22762588100,,34235481165,,,294041766712,,,,,-27412446130,676200000000,2764598729970,-4403425616970,,-1044977722500,,,-2007604609500,-1127467857189,2912027359925,3695360612,1788254863348,-344903447103,86395425954,,-521637847835,-55379919602,-138840952227,
2023-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
