id,event_name_vi,event_name_en,ticker,event_code,event_title_vi,event_title_en,display_date1,display_date2,public_date,start_date,end_date,action_type_vi,action_type_en,category,issue_date,record_date,exright_date,payout_date,value_per_share,exercise_ratio
69d6f11a714770f525e21d29,Giao dịch nội bộ: Giao dịch tổ chức,Director Deal: Institutional transactions,VNM,DDINS,"Platinum Victory Private Limited - Đăng kí Bán 52,551,922 VNM","Platinum Victory Pte. Ltd. - Subscribe to Sell 52,551,922 VNM shares",2026-04-13T00:00:00,2026-05-12T00:00:00,2026-05-12T00:00:00,2026-04-13T00:00:00,2026-05-12T00:00:00,Bán,Sell,MAJOR_SHAREHOLDER_TRADING,,,,,,
69eab80e9a7ad236002b1850,Giao dịch nội bộ: Giao dịch tổ chức,Director Deal: Institutional transactions,VNM,DDINS,Pension Reserves Investment Trust Fund - Đăng kí Mua VNM,Pension Reserves Investment Trust Fund - Subscribe to Buy VNM shares,2026-04-14T00:00:00,2026-04-22T00:00:00,2026-04-22T00:00:00,2026-04-14T00:00:00,2026-04-14T00:00:00,Mua,Buy,MAJOR_SHAREHOLDER_TRADING,,,,,,
69eab80e9a7ad236002b184f,Giao dịch nội bộ: Giao dịch tổ chức,Director Deal: Institutional transactions,VNM,DDINS,PZENA EMERCING MARKETS FOCUSED VALUE FUND - UCITS - Đăng kí Mua VNM,PZENA EMERCING MARKETS FOCUSED VALUE FUND - UCITS - Subscribe to Buy VNM shares,2026-04-14T00:00:00,2026-04-22T00:00:00,2026-04-22T00:00:00,2026-04-14T00:00:00,2026-04-14T00:00:00,Mua,Buy,MAJOR_SHAREHOLDER_TRADING,,,,,,
69eab80e9a7ad236002b184e,Giao dịch nội bộ: Giao dịch tổ chức,Director Deal: Institutional transactions,VNM,DDINS,PZENA EMERGING MARKETS VALUE FUND - MF - Đăng kí Mua VNM,PZENA EMERGING MARKETS VALUE FUND - MF - Subscribe to Buy VNM shares,2026-04-14T00:00:00,2026-04-22T00:00:00,2026-04-22T00:00:00,2026-04-14T00:00:00,2026-04-14T00:00:00,Mua,Buy,MAJOR_SHAREHOLDER_TRADING,,,,,,
69a8ccc1f2d24c49e81349ae,Giao dịch nội bộ: Giao dịch tổ chức,Director Deal: Institutional transactions,VNM,DDINS,"Platinum Victory Private Limited - Đăng kí Bán 52,551,922 VNM","Platinum Victory Pte. Ltd. - Subscribe to Sell 52,551,922 VNM shares",2026-03-09T00:00:00,2026-04-08T00:00:00,2026-04-08T00:00:00,2026-03-09T00:00:00,2026-04-07T00:00:00,Bán,Sell,MAJOR_SHAREHOLDER_TRADING,,,,,,
6972bf6024a1c5199e91d8b8,Giao dịch nội bộ: Giao dịch tổ chức,Director Deal: Institutional transactions,VNM,DDINS,"Platinum Victory Private Limited - Đăng kí Bán 125,761,922 VNM","Platinum Victory Pte. Ltd. - Subscribe to Sell 125,761,922 VNM shares",2026-01-28T00:00:00,2026-03-04T00:00:00,2026-03-04T00:00:00,2026-01-28T00:00:00,2026-02-26T00:00:00,Bán,Sell,MAJOR_SHAREHOLDER_TRADING,,,,,,
69a0e433f24a113a2ff1870f,Đại hội Đồng Cổ đông,Annual General Meeting,VNM,AGME,VNM - Tổ chức ĐHĐCĐ thường niên 2026,VNM - Holds 2026 AGM,2026-04-22T00:00:00,2026-03-17T00:00:00,2026-02-27T00:00:00,,,,,SHAREHOLDER_MEETING,2026-04-22T00:00:00,2026-03-18T00:00:00,2026-03-17T00:00:00,,,
6968337424a1c5199e818322,Giao dịch nội bộ: Giao dịch tổ chức,Director Deal: Institutional transactions,VNM,DDINS,"Công ty TNHH MTV Đầu Tư SCIC - Đăng kí Bán 1,450,000 VNM","SCIC Investment One Member Company Limited - Subscribe to Sell 1,450,000 VNM shares",2026-01-19T00:00:00,2026-02-02T00:00:00,2026-02-02T00:00:00,2026-01-19T00:00:00,2026-01-28T00:00:00,Bán,Sell,MAJOR_SHAREHOLDER_TRADING,,,,,,
693377fb2488031fef3b26dc,Giao dịch nội bộ: Giao dịch tổ chức,Director Deal: Institutional transactions,VNM,DDINS,"Công ty TNHH MTV Đầu Tư SCIC - Đăng kí Bán 1,450,000 VNM","SCIC Investment One Member Company Limited - Subscribe to Sell 1,450,000 VNM shares",2025-12-10T00:00:00,2026-01-13T00:00:00,2026-01-13T00:00:00,2025-12-10T00:00:00,2026-01-08T00:00:00,Bán,Sell,MAJOR_SHAREHOLDER_TRADING,,,,,,
69434a5283471c01b7905452,Giao dịch nội bộ: Giao dịch tổ chức,Director Deal: Institutional transactions,VNM,DDINS,"Platinum Victory Private Limited - Đăng kí Bán 96,094,631 VNM","Platinum Victory Pte. Ltd. - Subscribe to Sell 96,094,631 VNM shares",2025-12-22T00:00:00,2025-12-26T00:00:00,2025-12-26T00:00:00,2025-12-22T00:00:00,2025-12-24T00:00:00,Bán,Sell,MAJOR_SHAREHOLDER_TRADING,,,,,,
