19. Lãi cơ bản trên cổ phiếu (VNÐ),cost_of_goods_sold,current_corporate_income_tax_expenses,deduction_from_revenue,deferred_income_tax_expenses,earnings_per_share,financial_expenses,financial_income,gross_profit,interest_expenses,minority_interest,net_profit_after_tax,net_revenue,operating_expenses,operating_profit,other_expenses,other_income,other_profit,period,profit_after_tax_for_shareholders_of_parent_company,profit_before_tax,revenue,share_of_associates_and_joint_ventures_result
1051.0,9252731827546,508834009350,29334277160,47341456694,,154556282718.0,386473829446.0,6895926044077,118301437284.0,29501189428.0,2458221002532,16148657871623,4184472830956,2991830566118,18813601301,41379503759,22565902458,2026-Q1,2428719813104,3014396468576,16177992148783,48459806269.0
1223.0,10143535412610,688334808992,11868972863,-38533967838,,107566612631.0,358341189804.0,6890016993344,89980184766.0,-13168560770.0,2827199040932,17033552405954,3731908897788,3432867145001,83869930287,128002667372,44132737085,2025-Q4,2840367601702,3476999882086,17045421378817,23984472272.0
1084.0,9865934701695,644325193049,14852560120,-29257322200,,91354486972.0,395840396288.0,7087296836168,75464626344.0,-16233815688.0,2510532743203,16953231537863,4039538049711,3157752824075,69541892798,37389682775,-32152210023,2025-Q3,2526766558891,3125600614052,16968084097983,-194491871698.0
1046.0,9702919554414,613806796858,20012195784,-6302943861,,109547632124.0,376333100451.0,7021677925140,85204331624.0,13999382282.0,2488584680280,16724597479554,4173625417131,3118598303706,54670351500,32160581071,-22509770429,2025-Q2,2474585297998,3096088533277,16744609675338,3760327370.0
674.0,7724022892977,326819068821,30899523580,37203858648,,41765368480.0,366337215645.0,5210482439879,75155207673.0,18791079953.0,1587273268054,12934505332856,3600686624763,1950556716681,47425568932,48165047774,739478842,2025-Q1,1568482188101,1951296195523,12965404856436,16189054400.0
,9267382480456,555142311297,7978311081,-58564884369,908.0,140107172656.0,394631907537.0,6209690644985,66109861870.0,23142075494.0,2146791343977,15477073125441,3905692163978,2581919225696,60102594612,121552139821,61449545209,2024-Q4,2123649268483,2643368770905,15485051436522,23396009808.0
,9135891859183,573837659232,11370069034,-35189074022,1032.0,97962433824.0,430476492135.0,6401445454290,62624826693.0,-366049616.0,2403153055268,15537337313473,3758151975439,2970748116715,66174414919,37227938682,-28946476237,2024-Q3,2403519104884,2941801640478,15548707382507,-5059420447.0
,9588268993189,614203629137,9453070612,-1525922021,1138.0,87679063003.0,373183676511.0,7067518779284,64294446778.0,25490203830.0,2695965221114,16655787772473,4030590059647,3325773210703,51974230124,34843947651,-17130282473,2024-Q2,2670475017284,3308642928230,16665240843085,3339877558.0
,8200889872493,497675570285,12478942708,1181461848,944.0,102489879376.0,387368759884.0,5911521444565,86395425954.0,12316403989.0,2206983369589,14112411317058,3491189436729,2715537085273,46704335991,37007652440,-9696683551,2024-Q1,2194666965600,2705840401722,14124890259766,10326196929.0
,9177098353000,527166047542,11747924789,-25806937118,999.0,118785839541.0,428868705495.0,6441612591490,96231603161.0,24691529889.0,2350705489955,15618710944490,3997835560728,2725822436482,114579366839,240821530736,126242163897,2023-Q4,2326013960066,2852064600379,15630458869279,-28037460234.0
