Buy Date,Sell Date,Shares,Entry (VND),Exit (VND),Hold Days,Exit Reason,Invested (VND),P/L (VND),ROI (%)
2025-07-30,2025-08-05,5213700,54.8,58.7,4,MANUAL,"285,710,760","20,334,035",7.117
2025-08-07,2025-08-14,5055200,57.6,59.0,5,MANUAL,"291,179,520","7,078,574",2.431
2025-08-18,2025-08-21,5435700,59.2,62.4,3,MANUAL,"321,793,440","17,392,935",5.405
2025-08-25,2025-09-10,5443600,65.6,65.4,10,MANUAL,"357,100,160","-1,089,155",-0.305
2025-09-16,2025-09-18,5848200,67.6,72.4,2,MANUAL,"395,338,320","28,072,974",7.101
2025-10-27,2025-10-31,2841100,107.1,95.4,4,SL,"304,281,810","-33,239,745",-10.924
2025-11-03,2025-11-05,3010800,97.8,103.1,2,MANUAL,"294,456,240","15,956,584",5.419
2025-11-06,2025-11-10,2871800,104.0,99.4,2,MANUAL,"298,667,200","-13,210,050",-4.423
2025-11-11,2025-11-13,2928100,100.6,105.5,2,MANUAL,"294,566,860","14,348,352",4.871
2025-11-14,2025-11-19,2825000,105.6,110.1,3,MANUAL,"298,320,000","12,711,415",4.261
2025-11-20,2025-11-24,3359700,114.1,119.6,2,MANUAL,"383,341,770","18,477,073",4.82
2025-11-25,2025-11-28,3399000,121.6,130.1,3,MANUAL,"413,318,400","28,890,956",6.99
2025-12-02,2025-12-05,2942900,137.6,142.7,3,MANUAL,"404,943,040","15,007,189",3.706
2025-12-10,2025-12-12,2135700,148.9,143.9,2,MANUAL,"318,005,730","-10,678,632",-3.358
2025-12-18,2025-12-22,2203100,142.8,158.6,2,MANUAL,"314,602,680","34,807,641",11.064
2025-12-23,2025-12-25,1905700,170.1,157.8,2,MANUAL,"324,159,570","-23,439,979",-7.231
2025-12-26,2025-12-30,2043200,155.2,162.8,2,MANUAL,"317,104,640","15,528,614",4.897
