1. Chi phí chờ phân bổ dài hạn,1. Chi phí chờ phân bổ ngắn hạn,1. Hàng tồn kho,1. Phải thu ngắn hạn của khách hàng,10. Lợi nhuận sau thuế chưa phân phối,10. Phải trả ngắn hạn khác,12. Dự phòng phải trả ngắn hạn,12. Thuế thu nhập hoãn lại phải trả,13. Dự phòng phải trả dài hạn,"13. Quỹ khen thưởng, phúc lợi",14. Quỹ phát triển khoa học và công nghệ,2. Thặng dư vốn,"3. Phải trả cổ tức, lợi nhuận",3. Thuế và các khoản khác phải thu Nhà nước,3. Đầu tư nắm giữ đến ngày đáo hạn ngắn hạn,4. Dự phòng tổn thất đầu tư vào đơn vị khác dài hạn (*),4. Dự phòng đầu tư nắm giữ đến ngày đáo hạn ngắn hạn (*),4. Phải thu theo tiến độ hợp đồng xây dựng,4. Thuế và các khoản phải nộp Nhà nước ngắn hạn,5. Phải thu dài hạn khác,5. Phải thu ngắn hạn khác,5. Phải trả người lao động,5. Đầu tư nắm giữ đến ngày đáo hạn dài hạn,6. Chi phí phải trả ngắn hạn,6. Dự phòng phải thu dài hạn khó đòi (*),6. Dự phòng phải thu ngắn hạn khó đòi (*),7. Doanh thu chờ phân bổ dài hạn,8. Doanh thu chưa thực hiện ngắn hạn,8. Phải trả dài hạn khác,8. Phải trả theo tiến độ hợp đồng xây dựng ngắn hạn,9. Doanh thu chờ phân bổ ngắn hạn,9. Quỹ khác thuộc vốn chủ sở hữu,C. NỢ PHẢI TRẢ,D. VỐN CHỦ SỞ HỮU,V. Tài sản dở dang dài hạn,VI. Tài sản ngắn hạn khác,VI. Đầu tư tài chính dài hạn,VII. Tài sản dài hạn khác,a_liabilities,a_short_term_assets,accumulated_depreciation,accumulated_retained_earning_at_the_end_of_the_previous_period,assets,assets_awaiting_resolution,assets_revaluation_differences,b_long_term_assets,b_owners_equity,bonus_and_welfare_fund,c_minoritys_interest,capital_at_inter_company,cash,cash_and_cash_equivalents,cash_equivalents,common_stock_with_voting_right,construction_contract_progress_payments_due_to_suppliers,construction_contract_progress_receipts_due_from_customers,construction_in_progress,convertible_bond_option,convertible_bonds,cost,deferred_income_tax_assets,deferred_income_tax_liabilities,finance_lease_fixed_assets,financial_reserves,fixed_assets,foreign_exchange_differences,fund_for_technology_development,fund_to_support_corporate_restructuring,funds_invested_in_fixed_assets,goodwill,government_bonds,held_to_maturity_investments,ii_other_resources_and_funds,intangible_fixed_assets,inter_company_payables_on_business_capital,inventories,investment_and_development_fund,investment_in_associates,investment_in_subsidiaries,investment_properties,investments_in_associates_joint_ventures,investments_in_other_entities,long_term_acrrued_expenses,long_term_advances_from_customers,long_term_assets_in_progress,long_term_borrowings_and_financial_leases,long_term_equipment_supplies_spare_parts,long_term_financial_investments,long_term_inter_company_payables,long_term_inter_company_receivables,long_term_liabilities,long_term_loan_receivables,long_term_prepayments,long_term_prepayments_to_suppliers,long_term_production_in_progress,long_term_receivables,long_term_trade_payables,long_term_trade_receivables,long_term_unearned_revenue,minority_interest,other_capital_of_owners,other_funds_from_owners_equity,other_long_term_assets,other_long_term_investments,other_long_term_liabilities,other_long_term_receivables,other_short_term_assets,other_short_term_payables,other_short_term_receivables,owners_capital,owners_equity,payable_to_employees,period,preferred_stock,price_stabilization_fund,provision_for_decline_in_value_of_inventories,provision_for_diminution_in_value_of_long_term_investments,provision_for_long_term_doubtful_debts,provision_for_long_term_liabilities,provision_for_severance_allowances,provision_for_short_term_doubtful_debts,provision_for_short_term_liabilities,reserves_for_investment_in_construction,share_premium,short_term_acrrued_expenses,short_term_advances_from_customers,short_term_borrowings_and_financial_leases,short_term_financial_investments,short_term_inter_company_payables,short_term_inter_company_receivables,short_term_liabilities,short_term_loan_receivables,short_term_prepayments,short_term_prepayments_to_suppliers,short_term_trade_accounts_payable,short_term_trade_accounts_receivable,subsidized_not_for_profit_funds,tangible_fixed_assets,taxes_and_other_payables_to_state_authorities,taxes_and_other_receivables_from_state_authorities,total_assets,total_liabilities_equity,trading_securities,treasury_shares,undistributed_earnings_after_tax,undistributed_earnings_in_this_period,value_added_tax_to_be_reclaimed,vii_goodwill
1748044165862.0,592431670183.0,1163844658543,10175295201576,19702755221930.0,586509033785.0,568429169238.0,225408582305.0,441640477170.0,1576181989047.0,192096283.0,49713213411.0,19224252385.0,121526875562.0,18787408055631.0,-2710089987125.0,-35872175224.0,255231754306.0,930835170311.0,581436563490.0,783125213986.0,2381460234023.0,2774502166.0,1297318040710.0,-52372482637.0,-342389168838.0,351170921991.0,,144425098064.0,72097049140.0,1095442672376.0,91013628887.0,28464058214856.0,40122036570361.0,979678197873.0,1340197793854.0,10525098646332.0,3399067564489.0,,41527873060120,,17215383634831.0,,,,27058221725097,,,,,5022685693032,7993577611642,2970891918610,17035071210000.0,,,979678197873,,,,672886877165,,1049774612,,11625313235550,-108259470829,,,,978136521462.0,,,,1405422496340,,1094571460159,1326445413495,9410217695173.0,,,,3822196436118.0,,,,1605069048520.0,,,,,2767906224333,,,,,529064080853.0,,,,1170029477216.0,855267876251.0,,,,,,,,,17035071210000,40122036570361,,2026-Q1,,,-69273198384,,,,,,,,,,824581395679,14491358043012.0,18751535880407,,,25696151990523,,,1476727313028,1852714940817,12347990314058,,10218840964598,,,68586094785217,68586094785217,,,,2487371587099.0,626239248109,
4200230383066.0,641070240596.0,2250812490757,12733504688522,14324284500434.0,1014673786632.0,578298384069.0,198787701984.0,405858410471.0,2161348997002.0,192096283.0,49713213411.0,,131225405564.0,29612986737440.0,-2667027499149.0,,200405269967.0,2192156678455.0,611435814893.0,1128684791757.0,5678410841285.0,,1843426377372.0,-52372482637.0,-586166744274.0,127529003367.0,,149213186822.0,85650109236.0,4230708251601.0,88263628887.0,44338155487272.0,43751466292590.0,1604915957419.0,1381813111264.0,4737863994182.0,5749495414786.0,,58102970741619,,7399799985311.0,,,,29986651038243,,,,,8084826991114,10540181640920,2455354649806,17035071210000.0,,,1604915957419,,,,533534765559,,1277212606,,17330033606586,-70194908319,,,,1015730266161.0,,,2750000000.0,1942939547693,,2167188682919,1556932891952,3581128517425.0,,,,3823762975906.0,,,,1903789988184.0,,,,,2785370387111,5278733014.0,,,,564342065270.0,,,,7265098386273.0,3499547369952.0,,,,,,,,,17035071210000,43748716292590,,2025-Q4,,,-83623807838,,,,,,,,,,761332738428,19169697497955.0,29612986737440,,,41552785100161,9195910819.0,,915176652285,3837081438126,14400800569076,2750000000.0,15385816846287,,,88089621779862,88089621779862,,,,6924484515123.0,609517465104,
4112639286448.0,727367088616.0,2134346913983,11454536291628,13905342142939.0,886287256355.0,447281435201.0,251711896960.0,382749454108.0,1466277560451.0,192096283.0,49713213411.0,,133744369072.0,27125585559832.0,-2411392556617.0,,192402178808.0,1688953475754.0,624504027254.0,1196855208054.0,5855479855263.0,,1288325325852.0,-52372482637.0,-613258400119.0,157108380388.0,,148623774023.0,97274560617.0,3772473040194.0,88263628887.0,39907781019976.0,42830523910473.0,1639392184214.0,1526548213325.0,3982982376038.0,5915455046818.0,,53632976863548,,7034262059129.0,,,,29105328066901,,,,,7677693654613,9853512731370,2175819076757,17035071210000.0,,,1639392184214,,,,626835110443,,1574138434,,16990519914677,-27681339351,,,,1175980649927.0,,,2750000000.0,1832199076885,,2050315910017,1237865469600,2926769962921.0,,,,3467604969734.0,,,,2681435422290.0,,,,,3621821024052,4847000537.0,,,,576978545154.0,,,,7039652215035.0,3499547369952.0,,,,,,,,,17035071210000,42827773910473,,2025-Q3,,,-84031003966,,,,,,,,,,889386954751,16906417104678.0,27125585559832,,,36285959995924,45227471491.0,,801251699142,2987803426808,13077014449004,2750000000.0,15156746699358,,,82738304930449,82738304930449,,,,6871080083810.0,665436755637,
4043305734364.0,721172649340.0,2157814116939,11175300447724,13754625963366.0,791618953091.0,445896728018.0,646538868114.0,355154902907.0,1506718165310.0,192096283.0,49713213411.0,,114884275311.0,26619399709978.0,-2424277857391.0,,164046117155.0,1444374187645.0,602496864928.0,988041181778.0,4948810580669.0,200000000.0,1316015133539.0,-52372482637.0,-618183101143.0,154400605892.0,,146036731316.0,146279877893.0,2905363929549.0,87328710821.0,41725134585223.0,39876462423153.0,1668840462857.0,1472724433925.0,3814048381835.0,5996133265073.0,,52711179992741,,9318374975781.0,,,,28890417015635,,,,,7755450852909,10019630995136,2264180142227,14813301220000.0,,,1668840462857,,,,909024125220,,1829838007,,16856008406544,765225132,,,,1043803405489.0,,,2750000000.0,1936116534630,,2074111218172,1153142943064,2749087174920.0,,,,3489039064306.0,,,,2739611909827.0,,,,,4041935114339,5262117035.0,,,,555386499326.0,,,,6569531877020.0,3445303270339.0,,,,,,,,,14813301220000,39873712423153,,2025-Q2,,,-83702898767,,,,,,,,,,832680973164,20297311111107.0,26619399709978,,,37683199470884,10069852326.0,,806039137690,3048129830899,12525313635530,2750000000.0,14918062033907,,,81601597008376,81601597008376,,,,4436250987585.0,636667509274,
3785638253320.0,664880944825.0,2238873166859,10855474371546,13205526456323.0,1251531665774.0,469541169378.0,569727369002.0,302827405368.0,1651013852183.0,192096283.0,49713213411.0,,139497628510.0,23768377985785.0,-2392837248911.0,,153811104201.0,1121444348802.0,482857117398.0,894960947874.0,3131535196468.0,200000000.0,1333924968064.0,-52372482637.0,-570652543118.0,148599657911.0,,174873393589.0,101890782709.0,2690354669032.0,91579141774.0,36101018424847.0,37896654696942.0,2812693461694.0,1445717213450.0,3526503466795.0,5600891937741.0,,46075510989597,,11031225069798.0,,,,27922162132192,,,,,5342746710936,6755645214252,1412898503316,14710691830000.0,,,2812693461694,,,,749151566547,,1950397239,,15548353983782,13708111052,,,,1066102117874.0,,,2750000000.0,1978640933934,,2107939084995,2071074307101,2496646180033.0,,,,3422494535673.0,,,,987681080191.0,,,,,2183901002344,3234647419.0,,,,433719282180.0,,,,5822598933827.0,1929012703454.0,,,,,,,,,14710691830000,37893904696942,,2025-Q1,,,-130934081864,,,,,,,,,,601277867861,18320209599285.0,23768377985785,,,33917117422503,9757907901.0,,654479702711,3244393302947,11997831491115,2750000000.0,13567762652609,,,73997673121789,73997673121789,,,,2174301386525.0,641338640115,
,,1969267986149,10537019113380,,,,,,,,,,,,,,,,,,,,,,,,4252957254484.0,,,,,,,,,,,36216611816559.0,45475495956466,,5458228109134.0,,,,26537742279063,35796626418970.0,1834274483606.0,,,6725619929289,9315440438884,2589820509595,14710691830000.0,92738882375.0,136097256629.0,2559818072744,,,,573020091858,356994720571.0,2042708364,,14841618370112,-49482336677,192096283.0,,,1097458206678.0,,21785413686808.0,2750000000.0,2039520516122,,1835800448666,2108953405345,,,,2282142017143.0,3393737969842.0,,,2559818072744.0,501115537075.0,,3319014817651.0,,,1436299546037,2509722351.0,3815166554012.0,,,331646166008.0,,,131344534204.0,5933691775223.0,1929012703454.0,87730484825.0,5485644852548.0,,183788442785.0,381508926294.0,1159049076313.0,916333996623.0,706219898391.0,14710691830000,35793876418970,4267635878722.0,2024-Q4,,,-133467537483,-2357065169334.0,-52372482637.0,262864215119.0,,-619531925859.0,438100145127.0,,49713213411.0,1253394342965.0,562066755666,14446238451323.0,21785213686808,,,34780312270522,9808117590.0,453590735414.0,610379845664,4423912840298,11379992305795,2750000000.0,12800055145626,2292659239333.0,56757639039.0,72013238235529,72013238235529,,,11023565343389.0,5565337234255.0,648700701860,
,,2193960954794,10799828515307,,,,,,,,,,,,,,,,,,,,,,,,3609185372381.0,,,,,,,,,,,32217402904957.0,42605105704316,,5501785086737.0,,,,24976481427066,35364184226425.0,1067832843209.0,,,5251361305952,7935632407357,2684271101405,14604480660000.0,73935649016.0,194158152911.0,1474733361173,,,,619606969919,281716928073.0,2382853627,,14439270982491,-29631639215,192096283.0,,,1434724678776.0,,19442795123064.0,2750000000.0,1540006581949,,2059110974322,1785871347912,,,,2107973088950.0,3127281986657.0,,,1474733361173.0,478259485405.0,,3214141461080.0,,,1247766001418,897416719.0,3447179472476.0,,,346824501151.0,,,136336645256.0,5671387531825.0,1928079706361.0,87730484825.0,5501511121171.0,,191578670665.0,398299567069.0,1292616500084.0,867644213813.0,900121856114.0,14604480660000,35361434226425,4450898103166.0,2024-Q3,,,-134849980472,-2021313614527.0,-52372482637.0,159682175736.0,,-618598751821.0,68122659088.0,,49713213411.0,1331750914463.0,561493915003,14167809581083.0,19442595123064,,,30969636903539,33543915000.0,617798475447.0,566097011978,3096588816686,11875150699489,2750000000.0,12896881546915,1674374835631.0,70187936409.0,67581587131382,67581587131382,,,11263802921306.0,5762017834569.0,604630088228,
,,2020867809584,10309248199833,,,,,,,,,,,,,,,,,,,,,,,,2819029249307.0,,,,,,,,,,,32537727442612.0,40823156206093,,5504840283495.0,,,,24498811518815,32784240282296.0,1078656072209.0,,,5619992039480,6836262549195,1216270509715,14604480660000.0,80065381119.0,196821565607.0,1475304890550,,,,589559256274,281846591212.0,3124963681,,14370407013750,-54246270878,192096283.0,,,1334758371476.0,,19936262543669.0,2750000000.0,1707218886272,,1883517781683,1689800219262,,,,1964698503482.0,2957192860629.0,,,1475304890550.0,478494331122.0,,3095902850581.0,,,1196511155588,298168000.0,3317231255111.0,,,315647881073.0,,,129106508320.0,5299246371520.0,1928079706361.0,87730484825.0,5241548882861.0,,194225709333.0,367722195710.0,1194798284094.0,836477698929.0,853765844605.0,14604480660000,32781490282296,3918326517458.0,2024-Q2,,,-137350027901,-1846188513530.0,-52372482637.0,112645919318.0,,-985076830775.0,171953752690.0,,49713213411.0,1089742264001.0,773964458511,16024050830233.0,19916062543669,,,31341216287024,18634400000.0,581246029484.0,599121868182,3214619267192,10992515047452,2750000000.0,12660063163797,1334330795375.0,94689175815.0,65321967724908,65321967724908,,,9176685897795.0,3671845614300.0,518863078795,
,,1996597949120,9393764058957,,,,,,,,,,,,,,,,,,,,,,,,2436685610160.0,,,,,,,,,,,30297604017265.0,37679149034489,,8680772347026.0,,,,24345556013940,31727101031164.0,1092670762794.0,,,5411920365956,6341457504996,929537139040,12699688750000.0,71558000530.0,190429912043.0,1429362563324,,,,463159590283,330205688036.0,3541847532,,13814237251681,-39209406195,192096283.0,,,1611723437032.0,,18250359723426.0,2750000000.0,1512918754652,,1856403641469,1626776630590,,,,2186084508454.0,2949336301696.0,,,1429362563324.0,525148987126.0,,3415559155234.0,,,1264421071488,,3291841329838.0,,,319672686548.0,,,125499512897.0,4892732884725.0,1928079706361.0,87730484825.0,5366724357153.0,,186678090522.0,372045169185.0,1196256798381.0,741151780407.0,819717532596.0,12699688750000,31724351031164,2685858614485.0,2024-Q1,,,-140194307651,-1740061654916.0,-52372482637.0,96696696624.0,,-978160227586.0,283898524781.0,,49713213411.0,934931288233.0,663830151912,15984086694338.0,18230159723426,,,29033182945777,657520000.0,626343628225.0,628462570207,3179670522866,10054871366217,2750000000.0,12297776649497,958840995271.0,89469703306.0,62024705048429,62024705048429,,,10478838767447.0,1798066420421.0,480443466850,
,,1724956924671,9044709144898,,,,,,,,,,,,,,,,,,,,,,,,3620205460042.0,,,,,,,,,,,30376921097518.0,36709543350385,,4470578664053.0,,,,23615732701547,29948354954414.0,1461339534705.0,,,5975127685903,8279156683221,2304028997318,12699688750000.0,78456375540.0,182965994736.0,1315270136003,,,,368684417542,257214627286.0,4018633151,,13643232649898,-17000608261,192096283.0,,,1283790079129.0,,16124405358010.0,2750000000.0,1257097141433,,1593411075233,1559995344872,,,,2140003690320.0,2830355013038.0,,,1315270136003.0,208074996962.0,,3367402312269.0,,,709640675212,,3389945901107.0,,,247407205599.0,,,132927038647.0,4958194500693.0,1928602158147.0,87203093024.0,5042420397778.0,,41914135058.0,299779688236.0,1198835180678.0,1007219232845.0,869495265613.0,12699688750000,29945604954414,3761187996351.0,2023-Q4,,,-131545849438,-1623156391089.0,-52372482637.0,69317780976.0,,-912156645080.0,379618879870.0,,49713213411.0,882930232561.0,602100022731,13837894474107.0,16104205358010,,,29667280422306,515430000.0,582949832011.0,348405863076,2603082384726,9533935053243,2750000000.0,12382116875314,1433245828828.0,84181723091.0,60325276051932,60325276051932,,,8679208502528.0,4208629838475.0,531703625576,
