id,event_name_vi,event_name_en,ticker,event_code,event_title_vi,event_title_en,display_date1,public_date,value_per_share,exercise_ratio,category,display_date2,start_date,end_date,action_type_vi,action_type_en,issue_date,record_date,exright_date,payout_date,listing_date
6a0fa234a6ca51ba73a2a0a0,Trả cổ tức bằng tiền mặt,Cash Dividend,FPT,DIV,"Trả cổ tức bằng tiền mặt - Đợt 2 2025 - 1,000 VND","Cash Dividend - Interim 2 2025 - 1,000 VND",2026-05-21T00:00:00,2026-05-21T00:00:00,1000.0,0.1,DIVIDEND,,,,,,,,,,
69deda738e0e35deadec0869,Giao dịch nội bộ: Giao dịch tổ chức,Director Deal: Institutional transactions,FPT,DDINS,"Công ty TNHH MTV Đầu Tư SCIC - Đăng kí Mua 750,000 FPT","SCIC Investment One Member Company Limited - Subscribe to Buy 750,000 FPT shares",2026-04-16T00:00:00,2026-05-21T00:00:00,,,MAJOR_SHAREHOLDER_TRADING,2026-05-21T00:00:00,2026-04-16T00:00:00,2026-05-15T00:00:00,Mua,Buy,,,,,
69e6c30a9a7ad2360023b0c2,Phát hành cổ phiếu,Share Issue,FPT,ISS,Phát hành cổ phiếu - Phát hành cho CBCNV tỉ lệ 0.5%,Share Issue - ESOP ratio 0.5%,2026-05-20T00:00:00,2026-05-20T00:00:00,,0.00499,DIVIDEND,,,,,,,,,,
69e6c30a9a7ad2360023b0c1,Phát hành cổ phiếu,Share Issue,FPT,ISS,Phát hành cổ phiếu - Cổ phiếu thưởng tỉ lệ 10.0%,Share Issue - Bonus Issue ratio 10.0%,2026-04-20T00:00:00,2026-04-20T00:00:00,,0.1,DIVIDEND,,,,,,,,,,
698e6f08f24a113a2fd766d0,Giao dịch nội bộ: Giao dịch tổ chức,Director Deal: Institutional transactions,FPT,DDINS,"Công ty TNHH MTV Đầu Tư SCIC - Đăng kí Mua 2,000,000 FPT","SCIC Investment One Member Company Limited - Subscribe to Buy 2,000,000 FPT shares",2026-02-25T00:00:00,2026-03-27T00:00:00,,,MAJOR_SHAREHOLDER_TRADING,2026-03-27T00:00:00,2026-02-25T00:00:00,2026-03-26T00:00:00,Mua,Buy,,,,,
698d1dbff24a113a2fd58170,Giao dịch nội bộ: Giao dịch cá nhân,Director Deal: Individual transactions,FPT,DDIND,"Nguyễn Khải Hoàn - Đăng kí Bán 300,000 FPT","Nguyen Khai Hoan - Subscribe to Sell 300,000 FPT shares",2026-02-13T00:00:00,2026-02-23T00:00:00,,,MAJOR_SHAREHOLDER_TRADING,2026-02-23T00:00:00,2026-02-13T00:00:00,2026-02-13T00:00:00,Bán,Sell,,,,,
6983e32c8092e728da5096c2,Đại hội Đồng Cổ đông,Annual General Meeting,FPT,AGME,FPT - Tổ chức ĐHĐCĐ thường niên 2026,FPT - Holds 2026 AGM,2026-04-16T00:00:00,2026-02-05T00:00:00,,,SHAREHOLDER_MEETING,2026-03-09T00:00:00,,,,,2026-04-16T00:00:00,2026-03-10T00:00:00,2026-03-09T00:00:00,,
693226812488031fef38752e,Giao dịch nội bộ: Giao dịch tổ chức,Director Deal: Institutional transactions,FPT,DDINS,"Công ty TNHH MTV Đầu Tư SCIC - Đăng kí Mua 2,000,000 FPT","SCIC Investment One Member Company Limited - Subscribe to Buy 2,000,000 FPT shares",2025-12-10T00:00:00,2026-01-14T00:00:00,,,MAJOR_SHAREHOLDER_TRADING,2026-01-14T00:00:00,2025-12-10T00:00:00,2026-01-08T00:00:00,Mua,Buy,,,,,
6917c918d4eafd4c078ed8d6,Trả cổ tức bằng tiền mặt,Cash Dividend,FPT,DIV,"Trả cổ tức bằng tiền mặt - Đợt 1 2025 - 1,000 VND","Cash Dividend - Interim 1 2025 - 1,000 VND",2025-12-01T00:00:00,2025-11-19T00:00:00,1000.0,0.1,DIVIDEND,2025-11-19T00:00:00,,,,,,2025-12-02T00:00:00,2025-12-01T00:00:00,2025-12-12T00:00:00,
68ba2df36a7bab4d8b6baa67,Giao dịch nội bộ: Giao dịch người liên quan,Director Deal: Related Person transactions,FPT,DDRP,Nguyễn Đức Tiến - Đăng kí Mua FPT,Nguyen Duc Tien - Subscribe to Buy FPT shares,2025-08-29T00:00:00,2025-09-04T00:00:00,,,MAJOR_SHAREHOLDER_TRADING,2025-09-04T00:00:00,2025-08-29T00:00:00,2025-08-29T00:00:00,Mua,Buy,,,,,
