ticker,period,net_revenue,cost_of_goods_sold,gross_profit,operating_expenses,operating_profit,interest_expenses,profit_before_tax,net_profit_after_tax,profit_after_tax_for_shareholders_of_parent_company,a_short_term_assets,cash_and_cash_equivalents,short_term_financial_investments,short_term_trade_accounts_receivable,inventories,fixed_assets,total_assets,short_term_borrowings_and_financial_leases,long_term_borrowings_and_financial_leases,owners_equity,owners_capital,net_cash_flows_from_financing_activities,pe,pb,ps,trailing_eps,book_value_per_share,dividend_yield,ev_ebit,ev_ebitda
FPT,2022-Q2,10096060090959,6080957072181,4015103018778,2434397942915,1836170115803,176780202334.0,1857844626432,1561574291434,1250820478811,37159706261306,5219950154605,21520473393082,7494546042667,2207460290255,10634895059784,56295551150317,19720103859650.0,2142433707043.0,23408923147386,10970265720000,,16.01,4.04,9.37,5385,21339,0.02,56.55,33.91
FPT,2022-Q3,11148559020353,6789073328096,4359485692257,2592821205089,1993657541909,166542329315.0,2028024819924,1755997461589,1453716280969,35269474823622,3737291803926,20389025847693,8184661159428,2188156229832,11384340094228,55127101516155,16248169308008.0,2082516102387.0,24053018329616,10970265720000,,14.76,3.67,7.92,5456,21926,0.02,48.79,29.5
FPT,2022-Q4,13042426271109,7801152486947,5241273784162,3243157943099,1978262144383,156583283497.0,1989028630914,1619891968108,1351601105816,30933924692832,6440177174268,13036072272619,8510152205706,1965787736563,12032914964907,51655408644948,10904344845014.0,1477830333990.0,25340230745741,11019978933411,,14.68,3.33,6.47,4805,23099,0.03,44.1,25
FPT,2023-Q1,11681378883303,7113499882609,4567879000694,2694363998789,2096933282136,147985668274.0,2120643647098,1809799453894,1493562580890,29524492711606,3289424451229,13860719245281,9293933666296,2085309446226,11983455355040,50741161416448,12043373564413.0,312845373321.0,27058429213990,10970265720000,-168106676636,15.04,3.21,7.43,5258,24665,0.03,44.22,36.1
FPT,2023-Q2,12484364264902,7850539957865,4633824307037,2713855292041,2189766371273,212364005360.0,2218132633347,1855582255636,1509219531243,38758396857258,6236475101406,20451941376989,9006465114763,2028260743417,12264589224222,60556686225532,19315357110419.0,229405973901.0,28592434397177,11043316220000,,16.26,3.32,7.61,5289,25891,0.01,46.38,26.32
FPT,2023-Q3,13761744975857,8265376008841,5496368967016,3207678804799,2438361031885,265654864395.0,2429150459859,2075869356025,1739340360244,39531943273981,7153625069795,19618195845890,9819319720327,1757547511785,13261738918834,62112676348644,18937892531470.0,172070230363.0,28402905629698,12699688750000,,17.31,4.15,8.56,5362,22365,0.02,49.94,30.55
FPT,2023-Q4,14690412703323,9058549143162,5631863560161,3296100656939,2386698290464,206644073232.0,2435092799591,2051240770981,1728399961335,36709543350385,8279156683221,16104205358010,9533935053243,1593411075233,13643232649898,60325276051932,13837894474107.0,208074996962.0,29945604954414,12699688750000,,17.55,4.08,8.31,5476,23580,0.02,50.26,30.78
FPT,2024-Q1,14092928413699,8582462733612,5510465680087,3192420401757,2515527123032,137833720086.0,2533582054552,2160265289642,1798030863528,37679149034489,6341457504996,18230159723426,10054871366217,1856403641469,13814237251681,62024705048429,15984086694338.0,525148987126.0,31724351031164,12699688750000,1969285169830,21.02,4.66,10.5,5541,24980,0.02,61.02,49.57
FPT,2024-Q2,15245226416020,9593869093122,5651357322898,3305542570597,2635780817748,150125422101.0,2664296405975,2283040988935,1873814750772,40823156206093,6836262549195,19916062543669,10992515047452,1883517781683,14370407013750,65321967724908,16024050830233.0,478494331122.0,32781490282296,14604480660000,,23.23,5.81,12.5,5618,22446,0.02,73.04,45.03
FPT,2024-Q3,15902821715757,9743866051351,6158955664406,3371820808588,2948226004570,128825950601.0,2908620633374,2478597622500,2088852212408,42605105704316,7935632407357,19442595123064,11875150699489,2059110974322,14439270982491,67581587131382,14167809581083.0,478259485405.0,35361434226425,14604480660000,,23.8,5.55,12.35,5652,24213,0.01,68.75,41.73
FPT,2024-Q4,17607817805892,11128844453966,6478973351926,3419763656736,2922046994779,134854268998.0,2959667491092,2493502474938,2086993221115,45475495956466,9315440438884,21785213686808,11379992305795,1835800448666,14841618370112,72013238235529,14446238451323.0,501115537075.0,35793876418970,14710691830000,,26.77,6.27,12.74,5697,24332,0.01,76.23,45.82
FPT,2025-Q1,16058140942460,9756793038194,6301347904266,3706222986118,2993843378813,152389538333.0,3024693510849,2595557480309,2174301386525,46075510989597,6755645214252,23768377985785,11997831491115,2107939084995,15548353983782,73997673121789,18320209599285.0,987681080191.0,37893904696942,14710691830000,4273045645176,20.96,4.7,11.08,5772,25759,0.02,61.81,51.39
FPT,2025-Q2,16624713040067,10603672997092,6021040042975,3704002531292,3129379259205,216761295705.0,3141003261635,2740242077853,2257433265298,52711179992741,10019630995136,26619399709978,12525313635530,2074111218172,16856008406544,81601597008376,20297311111107.0,2739611909827.0,39873712423153,14813301220000,,20.16,4.39,10.53,5862,26918,0.02,57.98,35.53
FPT,2025-Q3,17204521225302,10685654746292,6518866479010,3563859565482,3346375732746,233582914481.0,3374738598090,2901545752650,2434841434732,53632976863548,9853512731370,27125585559832,13077014449004,2050315910017,16990519914677,82738304930449,16906417104678.0,2681435422290.0,42827773910473,17035071210000,,15.53,3.7,9.21,5988,25141,0.02,48.55,29.68
FPT,2025-Q4,20225450357409,13171300027162,7054150330247,3937571622636,3477285510758,207025852637.0,3498404603905,2988148562554,2502704371686,58102970741619,10540181640920,29612986737440,14400800569076,2167188682919,17330033606586,88089621779862,19169697497955.0,1903789988184.0,43748716292590,17035071210000,,15.92,3.73,8.07,6017,25682,0.02,48.85,29.69
FPT,2026-Q1,12479997206775,8235107316087,4244889890688,2212619818243,2747763827050,179461207664.0,2803844281676,2476789833481,2487371587099,41527873060120,7993577611642,18751535880407,12347990314058,1094571460159,11625313235550,68586094785217,14491358043012.0,1605069048520.0,40122036570361,17035071210000,2586191593366,12.43,3.17,10.2,6010,23553,0.03,45.76,40.23
