19. Lãi cơ bản trên cổ phiếu (VNÐ),cost_of_goods_sold,current_corporate_income_tax_expenses,deduction_from_revenue,deferred_income_tax_expenses,diluted_earnings_per_share,earnings_per_share,financial_expenses,financial_income,gross_profit,interest_expenses,minority_interest,net_profit_after_tax,net_revenue,operating_expenses,operating_profit,other_expenses,other_income,other_profit,period,profit_after_tax_for_shareholders_of_parent_company,profit_before_tax,revenue,share_of_associates_and_joint_ventures_result
1460.0,8235107316087,454678597413,5839497577.0,-127624149218,1460.0,,367211384721.0,415863869179.0,4244889890688,179461207664.0,-10581753618,2476789833481,12479997206775,2212619818243,2747763827050,5593557516,61674012142,56080454626,2026-Q1,2487371587099,2803844281676,12485836704352,666841270147.0
1168.0,13171300027162,487956258402,33415777986.0,22299782949,1168.0,,476741111428.0,553701777401.0,7054150330247,207025852637.0,485444190868,2988148562554,20225450357409,3937571622636,3477285510758,18969733713,40088826860,21119093147,2025-Q4,2502704371686,3498404603905,20258866135395,283746137174.0
1036.0,10685654746292,589553627034,20985896381.0,-116360781594,1036.0,,352575079871.0,613110473502.0,6518866479010,233582914481.0,466704317918,2901545752650,17204521225302,3563859565482,3346375732746,6476534277,34839399621,28362865344,2025-Q3,2434841434732,3374738598090,17225507121683,130833425587.0
1529.0,10603672997092,463961750401,33622720672.0,-63200566619,1529.0,,531366215070.0,1236993026877.0,6021040042975,216761295705.0,482808812555,2740242077853,16624713040067,3704002531292,3129379259205,17127043966,28751046396,11624002430,2025-Q2,2257433265298,3141003261635,16658335760739,106714935715.0
1478.0,9756793038194,377287599563,6839448804.0,51848430977,1478.0,,311343769364.0,573331893191.0,6301347904266,152389538333.0,421256093784,2595557480309,16058140942460,3706222986118,2993843378813,8362389503,39212521539,30850132036,2025-Q1,2174301386525,3024693510849,16064980391264,136730336838.0
,11128844453966,536403680028,43247573048.0,-70238663874,994.0,994.0,831375395433.0,576398372443.0,6478973351926,134854268998.0,406509253823,2493502474938,17607817805892,3419763656736,2922046994779,3315661986,40936158299,37620496313,2024-Q4,2086993221115,2959667491092,17651065378940,117814322579.0
,9743866051351,441224951554,69575353943.0,-11201940680,1430.0,1430.0,308178806879.0,326689006856.0,6158955664406,128825950601.0,389745410092,2478597622500,15902821715757,3371820808588,2948226004570,74280370385,34674999189,-39605371196,2024-Q3,2088852212408,2908620633374,15972397069700,142580948775.0
,9593869093122,561248620389,665872500.0,-179993203349,1098.0,1098.0,337927906368.0,569292544523.0,5651357322898,150125422101.0,409226238163,2283040988935,15245226416020,3305542570597,2635780817748,-1004275617,27511312610,28515588227,2024-Q2,1873814750772,2664296405975,15245892288520,58601427292.0
,8582462733612,389755423988,368983777.0,-16438659078,1416.0,1416.0,334065273301.0,457092979986.0,5510465680087,137833720086.0,362234426114,2160265289642,14092928413699,3192420401757,2515527123032,26727976065,44782907585,18054931520,2024-Q1,1798030863528,2533582054552,14093297397476,74454138017.0
,9058549143162,424981344481,5393881434.0,-41129315871,925.0,925.0,527556384763.0,520345470835.0,5631863560161,206644073232.0,322840809646,2051240770981,14690412703323,3296100656939,2386698290464,16124064640,64518573767,48394509127,2023-Q4,1728399961335,2435092799591,14695806584757,58146301170.0
