symbol,name,position,total_shares,rate
FPT,Trương Gia Bình,Chủ tịch Hội đồng Quản trị,117347966,0.0689
FPT,Bùi Quang Ngọc,Phó Chủ tịch Hội đồng Quản trị,25255715,0.0148
FPT,Đỗ Cao Bảo,Thành viên Hội đồng Quản trị,15868500,0.0093
FPT,Nguyễn Thế Phương,Phó Tổng Giám đốc/Người phụ trách quản trị công ty,6103794,0.0036
FPT,Nguyễn Văn Khoa,Tổng Giám đốc,5414610,0.0032
FPT,Phạm Minh Tuấn,Phó Tổng Giám đốc,2957848,0.0017
FPT,Nguyễn Khải Hoàn,Thành viên Ban kiểm soát,2497204,0.0015
FPT,Hoàng Hữu Chiến,Kế toán trưởng,938707,0.0006
FPT,Nguyễn Việt Thắng,Trưởng Ban kiểm soát,156451,0.0001
FPT,Mai Thị Lan Anh,Phó Giám đốc Điều hành/Phụ trách Công bố thông tin,9209,5.4e-06
