symbol,name,total_shares,rate,date
FPT,Trương Gia Bình,117347966,0.0689,2026-02-03T10:36:48.587
FPT,Tổng Công ty Đầu Tư Và Kinh Doanh Vốn Nhà Nước - Công ty TNHH,96585637,0.0567,2026-04-06T16:53:49.03
FPT,Công ty TNHH QT,54303923,0.0369,2025-10-05T12:54:27.52
FPT,"Deutsche Bank Aktiengesellchaft, London Branch",9604598,0.0241605875,2015-06-15T00:00:00
FPT,Vinacapital Vietnam Opportunity Fund Ltd.,22791922,0.0155,2025-10-05T12:54:27.52
FPT,Bùi Quang Ngọc,25255715,0.0148,2026-02-03T10:36:48.613
FPT,Trương Thị Thanh Thanh,21822466,0.0147,2025-10-05T12:54:27.52
FPT,Hoàng Minh Châu,5610790,0.0141169968,2015-09-14T00:00:00
FPT,Phan Ngô Tống Hưng,5344531,0.0134470773,2015-09-14T00:00:00
FPT,Schroder International Selection Fund,19460017,0.0132,2025-10-05T12:54:27.52
FPT,Macquarie Bank Limited Obu,17107235,0.0116,2025-10-05T12:54:27.52
FPT,Vietnam Holding Ltd,8557812,0.0109168978,2020-07-14T15:05:24.437
FPT,Ntasian Discovery Master Fund,16000000,0.0109,2025-10-05T12:54:27.52
FPT,Government Of Singapore,15162887,0.0103,2025-10-05T12:54:27.52
FPT,Nguyễn Thành Nam,3747323,0.009428431,2015-09-14T00:00:00
FPT,Đỗ Cao Bảo,15868500,0.0093,2026-02-03T10:36:48.637
FPT,Vietnam Equity Holding,3636506,0.0091477146,2015-06-15T00:00:00
FPT,Vietnam Dragon Fund Limited,3589550,0.0090295957,2015-06-15T00:00:00
FPT,Vietnam Enterprise Investments Limited,9710183,0.007646,2025-10-05T12:54:27.52
FPT,Lê Quang Tiến,2500001,0.0062901135,2015-09-14T00:00:00
FPT,Norges Bank,7501021,0.005906,2025-10-05T12:54:27.52
FPT,DC Developing Markets Strategies Public Limited Company,7150000,0.00563,2025-10-05T12:54:27.52
FPT,Wareham Group Limited,7085261,0.005579,2025-10-05T12:54:27.52
FPT,Deutsche Asset Management (Asia) Limited,2190196,0.0055094885,2015-06-15T00:00:00
FPT,Hanoi Investments Holdings Limited,6058066,0.00477,2025-10-05T12:54:27.52
FPT,Grinling International Limited,4773298,0.003759,2025-10-05T12:54:27.52
FPT,Nguyễn Thế Phương,6103794,0.0036,2026-02-03T10:38:33.523
FPT,Nguyễn Văn Khoa,5414610,0.0032,2026-02-03T10:38:33.563
FPT,Nguyễn Minh Sơn,993710,0.0025002184,2015-09-14T00:00:00
FPT,Hoàng Việt Anh,2888251,0.0023,2025-10-05T17:26:41.38
FPT,Venner Group Limited,2682813,0.002113,2025-10-05T12:54:27.52
FPT,Trần Quốc Hoài,782690,0.0019692828,2015-09-14T00:00:00
FPT,Phạm Minh Tuấn,2957848,0.0017,2026-02-03T10:38:33.6
FPT,Hoàng Nam Tiến,644986,0.0016228134,2022-05-11T16:09:42.013
FPT,Nguyễn Điệp Tùng,600406,0.0015106481,2015-09-14T00:00:00
FPT,Balestrand Limited,1907185,0.001502,2025-10-05T12:54:27.52
FPT,Nguyễn Khải Hoàn,2497204,0.0015,2026-02-23T17:25:55.573
FPT,Nguyễn Thị Phương,415250,0.0010447874,2015-09-14T00:00:00
FPT,Samsung Vietnam Securities Master Investment Trust,1166751,0.000919,2025-10-05T12:54:27.52
FPT,Đỗ Thị Ngọc Mai,1201591,0.0007,2025-10-05T12:54:27.52
FPT,Nguyễn Thị Dư,1026133,0.0007,2025-10-05T12:54:27.52
FPT,Saigon Investments Limited,768760,0.0007,2025-10-05T12:54:27.52
FPT,Amersham Industries Limited,780440,0.000615,2025-10-05T12:54:27.52
FPT,Quỹ Đầu tư Lợi Thế Cạnh Tranh Bền Vững SSI,480741,0.0006132643,2020-07-14T15:05:24.437
FPT,Đỗ Bảo Dương,940010,0.0006,2025-10-05T12:54:27.52
FPT,Hoàng Hữu Chiến,938707,0.0006,2026-02-03T10:39:04.12
FPT,KB Vietnam Focus Balanced Fund,681740,0.000536,2025-10-05T12:54:27.52
FPT,Công ty TNHH MTV Đầu Tư SCIC,750000,0.00044,2026-05-22T09:00:00.547
FPT,Quỹ Đầu tư Cổ phiếu Techcom,278249,0.0003549524,2020-07-14T15:05:24.437
FPT,Quỹ Đầu tư Cân bằng Bản Việt,272550,0.0003476824,2020-07-14T15:05:24.437
FPT,Trương Ngọc Anh,414124,0.0003,2025-10-05T12:54:27.52
FPT,The CH/SE Asia Investment Holdings (Singapore) Private Limited,124798,0.0003,2025-10-05T12:54:27.52
FPT,Quỹ Đầu tư Cân bằng Manulife,228303,0.0002912381,2020-07-14T15:05:24.437
FPT,Quỹ Đầu tư Năng động Eastspring Investments Việt Nam,227725,0.0002905007,2020-07-14T15:05:24.437
FPT,Bùi Nguyễn Phương Châu,160047,0.0002,2025-10-05T17:26:41.38
FPT,Quỹ Đầu tư Cổ phiếu Manulife,149380,0.0001905588,2020-07-14T15:05:24.437
FPT,Công ty TNHH Quản lý Quỹ Bảo Việt,75042,0.0001887698,2015-06-15T00:00:00
FPT,Quỹ ETF SSIAM VNX50,118826,0.0001515821,2020-07-14T15:05:24.437
FPT,Danang Investments Limited,151000,0.000138,2025-10-05T12:54:27.52
FPT,Quỹ Đầu tư Trái phiếu Bảo Việt,85980,0.00012676,2026-05-15T10:52:25.217
FPT,Quỹ Đầu tư Cổ phiếu Triển vọng Bảo Việt,98877,0.0001261339,2020-07-14T15:05:24.437
FPT,Nguyễn Việt Thắng,156451,0.0001,2026-02-03T10:37:27.087
FPT,Quỹ Đầu tư Tăng trưởng DFVN,67000,8.54695e-05,2020-07-14T15:05:24.437
FPT,Quỹ Đầu tư Cổ phiếu Năng động Bảo Việt,63313,8.07662e-05,2020-07-14T15:05:24.437
FPT,Công ty TNHH MTV Quản Lý Quỹ Ngân Hàng Thương Mại Cổ phần Công Thương Việt Nam,30000,7.54656e-05,2015-06-15T00:00:00
FPT,Quỹ Đầu tư Trái phiếu SSI,42000,6.192e-05,2025-10-05T12:54:27.52
FPT,Trương Đình Anh,21428,5.39137e-05,2015-09-14T00:00:00
FPT,Chu Thị Thanh Hà,17869,4.49591e-05,2015-09-14T00:00:00
FPT,Bùi Ngọc Minh,26450,2e-05,2025-10-05T12:54:27.52
FPT,Đỗ Hữu Binh,9843,6e-06,2025-10-05T12:54:27.52
FPT,Nguyễn Đức Tiến,9569,6e-06,2025-10-05T12:54:27.52
FPT,Mai Thị Lan Anh,9209,5.4e-06,2026-02-03T10:39:04.127
FPT,Nguyễn Thị Huế,3979,3e-06,2025-10-05T12:54:27.52
FPT,Công ty Cổ phần Đầu tư và Thương mại BDM,79,1e-07,2025-10-05T12:54:27.52
