symbol,name,rate,sub_symbol
FPT,Công ty TNHH Giáo Dục FPT,1.0,FPTE
FPT,Công ty TNHH Phần Mềm FPT,1.0,FPTSC
FPT,Công ty TNHH FPT IS,1.0,FISC
FPT,Công ty TNHH FPT Smart Cloud,1.0,FPTSMART
FPT,Công ty TNHH FPT Digital,1.0,12292
FPT,Công ty TNHH Đầu Tư FPT,1.0,0105173948
FPT,Công ty TNHH Hạ tầng Công nghệ số FPT,1.0,2808791
FPT,Công ty Cổ phần Viễn thông FPT,0.456563,FTEL
FPT,Công ty Cổ phần Công nghệ HOMA,0.3043,10796
FPT,Công ty Cổ Phần Synnex FPT,0.48,SYNNEXFPT
FPT,Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,0.4654,FPTR
FPT,Công ty Cổ phần Viễn thông FPT,0.456563,FTEL
FPT,Công ty Cổ phần Dịch vụ Trực tuyến FPT,0.2386,FOCC
FPT,Công ty Cổ phần Chứng khoán FPT,0.1758,FPTS
