period,profit_before_tax,depreciation_of_fixed_assets_and_properties_investment,provisions,foreign_exchange_loss_from_revaluation_of_monetary_items_denominated_in_foreign_currencies,"Lãi, lỗ từ hoạt động đầu tư, tài chính",Chi phí đi vay,loss_from_disposal_of_fixed_asset,interest_income_and_dividends,allocation_of_goodwill,operating_profit_before_changes_in_working_capital,decrease_in_receivables,decrease_in_inventories,"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)","Tăng, giảm chi phí chờ phân bổ",Chi phí đi vay đã trả,corporate_income_tax_paid,other_receipts_from_operating_activities,other_payments_for_operating_activities,Lưu chuyển tiền thuần từ hoạt động kinh doanh,payment_for_fixed_assets_constructions_and_other_long_term_assets,receipts_from_disposal_of_fixed_assets_and_other_long_term_assets,loans_purchases_of_other_entities_debt_instruments,receipts_from_loan_repayments_sale_of_other_entities_debt_instruments,payments_for_investment_in_other_entities,collections_on_investment_in_other_entities,dividends_interest_and_profit_received,increase_in_term_deposit,other_receipts_from_investing_activities,other_payments_for_investing_activities,Lưu chuyển tiền thuần từ hoạt động đầu tư,receipts_from_equity_issue_and_owners_capital_contribution,"2. Tiền trả lại vốn góp cho các chủ sở hữu, mua lại cổ phiếu đã phát hành",proceeds_from_borrowings,principal_repayments,dividends_paid_profits_distributed_to_owners,other_receipts_from_financing_activities,other_payments_for_financing_activities,net_cash_flows_from_financing_activities,net_cash_flows_during_the_period,cash_and_cash_equivalents_at_beginning_of_the_period,exchange_difference_due_to_re_valuation_of_ending_balances,cash_and_cash_equivalents_at_end_of_the_period,loss_from_investment_activities,interest_expenses,adjustments_for,increase_in_payables,decrease_in_prepaid_expenses,interest_paid,payment_for_share_repurchases
2026-Q1,10762183839545,2854213903270,-394463126,-93187660506,-5113315374186,1333414699291,,,,9742914944288,-3247077198393,6689926170566,-2632265270173,101663240118,-1339109587744,-2210061924270,,-289234924371,6816755450021,-5489839982929,5137451465,-15410488328272,9808255809184,-1860000000000,9754502725420,271138307918,,,,-2921294017214,906464079800,-133022500000,37972026707821,-39509669716860,-3593041781,,,-767794471020,3127666961787,8325103342897,2460733821,11455231038505,,,,,,,
2025-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-Q1,3839765349020,1801603135468,11289113084,132616469869,-244726801802,627024360692,,,,6167571626331,-4134982417163,-384608710947,-1984736525485,48974724977,-599757525250,-1670270526989,,-220131091954,-2777940446480,-6168853176586,8330267880,-5526332899179,8422939517832,,226687184000,308719460282,,,,-2728509645771,100000000,,42070537735752,-35992323059515,-22127134,,,6078292549103,571842456852,6887646139852,-452778575,7459035818129,,,,,,,
2024-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-Q1,3261215356873,1721816264528,10669816792,182794183008,,,,,,4349823418043,-2549940352860,-1850079271655,,,,-849105119441,,-401971341603,748630390745,-14797827829267,1139714227578,-8465849467273,8374734396151,,,1125274432093,,,,-12623954240718,40000000000,,44109437021720,-32099643158043,638363554,,,12050332227231,175008377258,12252001160884,1878498095,12428888036237,-1462291190778,635618987620,,3121851473748,-450426491575,-621521923912,-100000000
2023-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-Q1,532042789767,1648185800262,-941109168744,-70212986899,,,,,,240797645970,-3812875642667,1129379609411,,,,-406872658989,,-215138161878,-1102980128050,-2818742500442,85782979543,-11146363396151,9915617722611,,,1791187123736,,,,-2172518070703,500000000,,29747246722377,-26927061343325,-67273509,,,2820618105543,-454880093210,8324588920227,-1257260691,7868451566326,-1917697628031,989588839615,,2852581088093,118008526448,-1008860534438,
2022-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-Q1,8922103855907,1677611364569,-59950204308,150783920541,,,,,,10336198367755,665168430681,2157183286223,,,,-578723718398,,-513100948690,8387007986583,-6026975731178,4117528200,-19318517776498,9738241951928,,,911474085424,,,,-14691659942124,525000000,,34800675129353,-31899973544079,-9489245406,,,2891737339868,-3412914615673,22471375562130,1553643844,19060014590301,-951283456248,596932887294,,-2993606607312,-95129210608,-590981613068,
2021-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-Q1,7690213194491,1454908359540,28321364644,-2552250936,,,,,,9069851705870,-3364015325784,-1849087719759,,,,-494678519443,,-318492238077,1593350131465,-1399236188679,1780127545,-7952254523391,5213877851025,,827030264967,266641688553,,,,-3042160779980,3130000000,,30267142223530,-28495551029999,-6724946432,,,1767996247099,319185598584,13696099298228,3344296902,14018629193714,-722585925436,621546963567,,-758802388718,-52531887685,-638893494939,
2020-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-Q1,2657091220016,1091959044244,22391252573,281070672466,,,,,,4471898517703,-1577050200596,53050182496,,,,-432145153255,,-252203233893,714368443643,-3447607366037,15967887769,-1034707105440,800412234367,,,69433321558,,,,-3596501027783,,,16924270152854,-12424802707315,-4973046084,,,4494494399455,1612361815315,4544900252204,565121897,6157827189416,-61696545888,481082874292,,-1211555601127,37163563730,-374789631415,
2019-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-Q1,2170940228673,583138700857,-26374697757,-14499415586,,,,,,2864933533417,-1145022952518,2196908631444,,,,-374604421127,,-171033086219,2133897345378,-5336201548793,2364808068,-2810200888442,3322292650156,,,106399394935,,,,-4715345584076,,,19848673018339,-13671770034245,-217727679,,,6176685256415,3595237017717,2515617135457,25057778,6110879210952,-33470504380,185199221610,,-1160255462159,66109848557,-143138746017,
2018-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
