cost_of_goods_sold,current_corporate_income_tax_expenses,deduction_from_revenue,deferred_income_tax_expenses,earnings_per_share,financial_expenses,financial_income,gross_profit,interest_expenses,minority_interest,net_profit_after_tax,net_revenue,operating_expenses,operating_profit,other_expenses,other_income,other_profit,period,profit_after_tax_for_shareholders_of_parent_company,profit_before_tax,revenue,share_of_associates_and_joint_ventures_result
44535778694658,1681871206942,412062818033,24394432580,,1868827249709.0,5938347436208.0,8365068607995,1333414699291.0,61914955881,9055918200023,52900847302653,1730870903704,10704033503572,41832440311,99982776284,58150335973,2026-Q1,8994003244142,10762183839545,53312910120686,315612782.0
39779834052596,744749714238,1125138586569,-32969484742,,1584024163714.0,437336032419.0,6396650497175,1236524775157.0,27355286611,3888349733267,46176484549771,682521477613,4567440888267,82346763981,115035838477,32689074496,2025-Q4,3860994446656,4600129962763,47301623136340,
30320155128758,632794091038,386457045489,-16733235327,,1073210620638.0,711903358963.0,6087261275166,812194101705.0,23933842184,4012252316723,36407416403924,1154929297315,4571024716176,20718751273,78007207531,57288456258,2025-Q3,3988318474539,4628313172434,36793873449413,
29320796625500,684398735485,375666735200,23460652646,,979462100729.0,498183728007.0,6589722485709,439112631420.0,7769327137,4264524105532,35910519111209,1147657780797,4960786332190,-53028633067,-41431471594,11597161473,2025-Q2,4256754778395,4972383493663,36286185846409,
32197520628446,512281294123,328960948472,-22321361187,,970569640998.0,438057240540.0,5424153925132,627024360692.0,5520721696,3349805416084,37621674553578,1085059513672,3806582011002,120798445479,153981783497,33183338018,2025-Q1,3344284694388,3839765349020,37950635502050,
30126073473488,503217741562,741215175825,-26135956217,,1015139809937.0,700557465070.0,4364908953201,562492663846.0,2790579399,2809591678365,34490982426689,747530142210,3302796466124,241423685732,225300683318,-16123002414,2024-Q4,2806801098966,3286673463710,35232197602514,
29225083561286,427815885551,344091771518,-37102736610,,832902574260.0,528453174917.0,4731176724241,525114798901.0,-1274647147,3021671984903,33956260285527,1041709733420,3385017591478,193549476158,220917018524,27367542366,2024-Q3,3022946632050,3412385133844,34300352057045,
34308029337809,419294315425,380758333336,-5643364205,,1065091915406.0,645060096530.0,5247480489645,564134360513.0,311576683,3319574718545,39555509827454,1135927546485,3691521124284,163471969916,205176515397,41704545481,2024-Q2,3319263141862,3733225669765,39936268160790,
26698376631120,415478064702,240210036506,-23445310301,,1060613282413.0,751955374195.0,4153982960597,635618987620.0,-1406090519,2869182602472,30852359591717,957657285921,2887667766458,134827877439,508375467854,373547590415,2024-Q1,2870588692991,3261215356873,31092569628223,
29912194884366,356399560815,540762991718,59198534048,,1127386435227.0,732316277875.0,4471610043389,710943681004.0,-3808576389,2968970782885,34383804927755,760892537075,3315647348962,162789302822,231710831608,68921528786,2023-Q4,2972779359274,3384568877748,34924567919473,
