symbol,name,position,total_shares,rate
HPG,Trần Đình Long,Chủ tịch Hội đồng Quản trị,1980000000,0.25796
HPG,Trần Tuấn Dương,Phó Chủ tịch Hội đồng Quản trị,177556764,0.0231329
HPG,Nguyễn Mạnh Tuấn,Phó Chủ tịch Hội đồng Quản trị,174088076,0.0227
HPG,Nguyễn Ngọc Quang,Thành viên Hội đồng Quản trị,125485714,0.0163
HPG,Doãn Gia Cường,Phó Chủ tịch Hội đồng Quản trị,96209794,0.0125
HPG,Hoàng Quang Việt,Thành viên Hội đồng Quản trị,34701722,0.0045
HPG,Nguyễn Việt Thắng,Thành viên Hội đồng Quản trị/Tổng Giám đốc,24618199,0.0032
HPG,Tạ Tuấn Quang,Thành viên Hội đồng Quản trị,4369642,0.0013
HPG,Nguyễn Thị Thảo Nguyên,Phó Tổng Giám đốc,805042,0.0001052
HPG,Đặng Ngọc Khánh,Thành viên Hội đồng Quản trị độc lập,500000,7e-05
HPG,Trần Thị Thu Hiền,Phó Tổng Giám đốc/Người phụ trách quản trị công ty,7621,1e-06
HPG,Ngô  Lan Anh,Thành viên Ban kiểm soát,2191,3e-07
HPG,Thái  Thị Lộc,Thành viên Ban kiểm soát,2160,3e-07
