symbol,name,rate,sub_symbol
HPG,Công ty TNHH Tôn Hòa Phát,1.0,HPSHEET
HPG,Công ty Cổ phần Thép Hòa Phát Dung Quất,1.0,HPDQ
HPG,Công ty TNHH Thép Hòa Phát Hưng Yên,1.0,HPHY
HPG,Công ty Cổ Phần Gang Thép Hòa Phát,0.999988,10784
HPG,Công ty Cổ Phần Sản Phẩm Thép Hòa Phát,0.99996,10785
HPG,Công ty Cổ phần Thép Hoà Phát Hải Dương,0.9999,HPHD
HPG,Công ty Cổ Phần Phát Triển Bất Động Sản Hòa Phát,0.999811,10786
HPG,Công ty Cổ Phần Điện Máy Gia Dụng Hòa Phát,0.9997,0109754171
HPG,Công ty Tnhh Ống Thép Hoà Phát,0.99967,HPPIPE
HPG,CÔNG TY CỔ PHẦN ĐẦU TƯ KHOÁNG SẢN AN THÔNG,0.9996,ANTHONGMI
HPG,Công ty TNHH Chế Tạo Kim Loại Hòa Phát,0.9988,HPSPE
HPG,Công ty Cổ Phần Xây Dựng Và Phát Triển Đô Thị Hoà Phát,0.9985,HPUCD
HPG,Công ty TNHH Điện Lạnh Hoà Phát,0.9967,HPRE
HPG,Công ty Cổ Phần Thương Mại Và Sản Xuất Nội Thất The One,0.996,HPF
HPG,Công ty Cổ phần Phát triển Nông nghiệp Hoà Phát,0.84536,HPAGRI
