period,profit_before_tax,depreciation_of_fixed_assets_and_properties_investment,provisions,foreign_exchange_loss_from_revaluation_of_monetary_items_denominated_in_foreign_currencies,"Lãi, lỗ từ hoạt động đầu tư, tài chính",Chi phí đi vay,loss_from_disposal_of_fixed_asset,interest_income_and_dividends,allocation_of_goodwill,operating_profit_before_changes_in_working_capital,decrease_in_receivables,decrease_in_inventories,"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)","Tăng, giảm chi phí chờ phân bổ",changes_in_available_for_sale_securities,Chi phí đi vay đã trả,corporate_income_tax_paid,other_payments_for_operating_activities,Lưu chuyển tiền thuần từ hoạt động kinh doanh,payment_for_fixed_assets_constructions_and_other_long_term_assets,receipts_from_disposal_of_fixed_assets_and_other_long_term_assets,loans_purchases_of_other_entities_debt_instruments,receipts_from_loan_repayments_sale_of_other_entities_debt_instruments,payments_for_investment_in_other_entities,collections_on_investment_in_other_entities,dividends_interest_and_profit_received,increase_in_term_deposit,purchases_of_minority_shares_of_subsidiaries,other_receipts_from_investing_activities,other_payments_for_investing_activities,Lưu chuyển tiền thuần từ hoạt động đầu tư,receipts_from_equity_issue_and_owners_capital_contribution,"2. Tiền trả lại vốn góp cho các chủ sở hữu, mua lại cổ phiếu đã phát hành",proceeds_from_borrowings,principal_repayments,dividends_paid_profits_distributed_to_owners,other_receipts_from_financing_activities,other_payments_for_financing_activities,net_cash_flows_from_financing_activities,net_cash_flows_during_the_period,cash_and_cash_equivalents_at_beginning_of_the_period,exchange_difference_due_to_re_valuation_of_ending_balances,cash_and_cash_equivalents_at_end_of_the_period,loss_from_investment_activities,interest_expenses,adjustments_for,increase_in_payables,decrease_in_prepaid_expenses,interest_paid,payment_for_share_repurchases
2026-Q1,11536718000000,7913123000000,4477515000000,165105000000,-3694095000000,7522882000000,,,,27921248000000,-11836014000000,-11314593000000,22063554000000,167496000000,1583614000000,-1182924000000,-892445000000,,26509936000000,-20163846000000,2310009000000,-16644061000000,1266063000000,-46692308000000,9263567000000,2201216000000,,,,,-68459360000000,340000000000,-3000000000,57727404000000,-33555181000000,-36000000000,,,24473223000000,-17476201000000,72226561000000,,54750360000000,,,,,,,
2025-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-Q1,7381863000000,7049131000000,4909756000000,408606000000,-3818552000000,6102357000000,,,,22033161000000,5554418000000,2652830000000,-44698830000000,1875827000000,2128250000000,-5853488000000,-1165946000000,,-17473778000000,-12883907000000,250577000000,-8628702000000,3274341000000,-2837438000000,3792505000000,403882000000,,,,,-16628742000000,1210662000000,,63585814000000,-40784384000000,,,,24012092000000,-10090428000000,42582366000000,,32491938000000,,,,,,,
2024-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-Q1,2493879000000,5129418000000,2044832000000,1461014000000,,,,,,-2787272000000,-7643941000000,-8117371000000,,,,,-1024575000000,,-26456703000000,-16755198000000,1386000000,-3886771000000,4897667000000,-14204624000000,34987549000000,39773000000,,,,,5079782000000,9621948000000,,35329504000000,-24304070000000,-600000000000,,,20047382000000,-1329539000000,27982623000000,,26653084000000,-18746143000000,4829728000000,,-1252127000000,-1172086000000,-4459331000000,
2023-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
