id,event_name_vi,event_name_en,ticker,event_code,event_title_vi,event_title_en,display_date1,display_date2,public_date,start_date,end_date,action_type_vi,action_type_en,category,issue_date,record_date,exright_date,listing_date,exercise_ratio
69f14f8ddb487120c68b4ccf,Giao dịch nội bộ: Giao dịch tổ chức,Director Deal: Institutional transactions,VIC,DDINS,"Công ty Cổ phần Vinpearl - Đăng kí Bán 14,974,526 VIC","Vinpearl Joint Stock Company - Subscribe to Sell 14,974,526 VIC shares",2026-05-19T00:00:00,2026-05-21T00:00:00,2026-05-21T00:00:00,2026-05-19T00:00:00,2026-05-19T00:00:00,Bán,Sell,MAJOR_SHAREHOLDER_TRADING,,,,,
69dd89028e0e35deadea231d,Giao dịch nội bộ: Giao dịch tổ chức,Director Deal: Institutional transactions,VIC,DDINS,"Công ty Cổ phần Vinpearl - Đăng kí Bán 5,191,168 VIC","Vinpearl Joint Stock Company - Subscribe to Sell 5,191,168 VIC shares",2026-04-16T00:00:00,2026-04-17T00:00:00,2026-04-17T00:00:00,2026-04-16T00:00:00,2026-05-16T00:00:00,Bán,Sell,MAJOR_SHAREHOLDER_TRADING,,,,,
69b207bbf2d24c49e822f49a,Giao dịch nội bộ: Giao dịch tổ chức,Director Deal: Institutional transactions,VIC,DDINS,"Công ty Cổ phần Vinpearl - Đăng kí Bán 90,046,815 VIC","Vinpearl Joint Stock Company - Subscribe to Sell 90,046,815 VIC shares",2026-03-16T00:00:00,2026-04-13T00:00:00,2026-04-13T00:00:00,2026-03-16T00:00:00,2026-03-26T00:00:00,Bán,Sell,MAJOR_SHAREHOLDER_TRADING,,,,,
69a8ccc1f2d24c49e813496c,Đại hội Đồng Cổ đông,Annual General Meeting,VIC,AGME,VIC - Tổ chức ĐHĐCĐ thường niên 2026,VIC - Holds 2026 AGM,2026-04-22T00:00:00,2026-03-20T00:00:00,2026-03-06T00:00:00,,,,,SHAREHOLDER_MEETING,2026-04-22T00:00:00,2026-03-23T00:00:00,2026-03-20T00:00:00,,
693a0fb583471c01b7813121,Giao dịch nội bộ: Giao dịch cá nhân,Director Deal: Individual transactions,VIC,DDIND,"Phạm Nhật Vượng - Đăng kí Bán 75,993,997 VIC","Pham Nhat Vuong - Subscribe to Sell 75,993,997 VIC shares",2025-12-24T00:00:00,2025-12-31T00:00:00,2025-12-31T00:00:00,2025-12-24T00:00:00,2025-12-24T00:00:00,Bán,Sell,MAJOR_SHAREHOLDER_TRADING,,,,,
6928ec09cc797c610f245126,Giao dịch nội bộ: Giao dịch tổ chức,Director Deal: Institutional transactions,VIC,DDINS,"Công ty Cổ phần Đầu tư và Phát triển Đường sắt Cao tốc VINSPEED - Đăng kí Mua 75,993,997 VIC","Vinspeed High-Speed Railway Investment And Development Joint Stock Company - Subscribe to Buy 75,993,997 VIC shares",2025-12-24T00:00:00,2025-12-31T00:00:00,2025-12-31T00:00:00,2025-12-24T00:00:00,2025-12-24T00:00:00,Mua,Buy,MAJOR_SHAREHOLDER_TRADING,,,,,
694b3353bdc91e0e0d574c8b,Niêm yết thêm,Additional Listing,VIC,AIS,VIC - Niêm yết bổ sung 3.853.015.512 cổ phiếu,"VIC- Lists additional 3,853,015,512 shares",2025-12-18T00:00:00,2025-12-23T00:00:00,2025-12-23T00:00:00,,,,,OTHER,2025-12-18T00:00:00,,,,
690d3ca37f917761c5d02bee,Phát hành cổ phiếu,Share Issue,VIC,ISS,Phát hành cổ phiếu - Cổ phiếu thưởng tỉ lệ 100.0%,Share Issue - Bonus Issue ratio 100.0%,2025-12-05T00:00:00,2025-12-02T00:00:00,2025-12-02T00:00:00,,,,,DIVIDEND,,2025-12-08T00:00:00,2025-12-05T00:00:00,2025-12-31T00:00:00,1.0
68f9760bc168044c525a93cb,Giao dịch nội bộ: Giao dịch tổ chức,Director Deal: Institutional transactions,VIC,DDINS,"Công Ty Cổ Phần Quản Lý Và Đầu Tư Bất Động Sản Hưng Long - Đăng kí Bán 243,462,578 VIC","Hung Long Real Estate Investment and Management Joint Stock Company - Subscribe to Sell 243,462,578 VIC shares",2025-10-30T00:00:00,2025-10-31T00:00:00,2025-10-31T00:00:00,2025-10-30T00:00:00,2025-10-30T00:00:00,Bán,Sell,MAJOR_SHAREHOLDER_TRADING,,,,,
68f9760bc168044c525a93ca,Giao dịch nội bộ: Giao dịch tổ chức,Director Deal: Institutional transactions,VIC,DDINS,"Công ty Cổ phần Đầu tư và Phát triển Đường sắt Cao tốc VINSPEED - Đăng kí Mua 243,462,578 VIC","Vinspeed High-Speed Railway Investment And Development Joint Stock Company - Subscribe to Buy 243,462,578 VIC shares",2025-10-30T00:00:00,2025-10-31T00:00:00,2025-10-31T00:00:00,2025-10-30T00:00:00,2025-10-30T00:00:00,Mua,Buy,MAJOR_SHAREHOLDER_TRADING,,,,,
68e45e234b8a9643750c0228,Giao dịch nội bộ: Giao dịch cá nhân,Director Deal: Individual transactions,VIC,DDIND,"Phạm Nhật Vượng - Đăng kí Bán 60,017,806 VIC","Pham Nhat Vuong - Subscribe to Sell 60,017,806 VIC shares",2025-10-09T00:00:00,2025-10-10T00:00:00,2025-10-10T00:00:00,2025-10-09T00:00:00,2025-10-09T00:00:00,Bán,Sell,MAJOR_SHAREHOLDER_TRADING,,,,,
68e45e234b8a9643750c0227,Giao dịch nội bộ: Giao dịch tổ chức,Director Deal: Institutional transactions,VIC,DDINS,"Công ty Cổ phần Năng lượng Vinenergo - Đăng kí Mua 60,017,806 VIC","Vinenergo Energy Joint Stock Company - Subscribe to Buy 60,017,806 VIC shares",2025-10-09T00:00:00,2025-10-10T00:00:00,2025-10-10T00:00:00,2025-10-09T00:00:00,2025-10-09T00:00:00,Mua,Buy,MAJOR_SHAREHOLDER_TRADING,,,,,
68dc753f82ba4d1dc754b7d9,Niêm yết thêm,Additional Listing,VIC,AIS,VIC - Niêm yết bổ sung 29.353.951 cổ phiếu,"VIC- Lists additional 29,353,951 shares",2025-09-29T00:00:00,2025-09-30T00:00:00,2025-09-30T00:00:00,,,,,OTHER,2025-09-29T00:00:00,,,,
68b8dc8f6a7bab4d8b6a34a1,Sự kiện khác,Other events,VIC,OTHE,VIC - Thay đổi địa chỉ,VIC - Change Address,2025-09-03T00:00:00,,2025-09-03T00:00:00,,,,,OTHER,2025-08-28T00:00:00,,,,
68a7b90f64af214c26fa9ccd,Phát hành cổ phiếu,Share Issue,VIC,ISS,Phát hành cổ phiếu - Phát hành riêng lẻ,Share Issue - Private Placements,2025-08-21T00:00:00,2025-08-21T00:00:00,2025-08-21T00:00:00,,,,,DIVIDEND,,2025-08-21T00:00:00,2025-08-21T00:00:00,2025-10-07T00:00:00,0.0
68a7b90f64af214c26fa9ccc,Phát hành cổ phiếu,Share Issue,VIC,ISS,Phát hành cổ phiếu - Phát hành riêng lẻ,Share Issue - Private Placements,2025-08-21T00:00:00,2025-08-21T00:00:00,2025-08-21T00:00:00,,,,,DIVIDEND,,2025-08-21T00:00:00,2025-08-21T00:00:00,,0.0
6854aa7bbffa71495b6a7c12,Giao dịch nội bộ: Giao dịch cá nhân,Director Deal: Individual transactions,VIC,DDIND,"Phạm Nhật Vượng - Đăng kí Bán 87,559,863 VIC","Pham Nhat Vuong - Subscribe to Sell 87,559,863 VIC shares",2025-06-27T00:00:00,2025-07-04T00:00:00,2025-07-04T00:00:00,2025-06-27T00:00:00,2025-06-27T00:00:00,Bán,Sell,MAJOR_SHAREHOLDER_TRADING,,,,,
