ticker,period,net_revenue,cost_of_goods_sold,gross_profit,operating_expenses,operating_profit,interest_expenses,profit_before_tax,net_profit_after_tax,profit_after_tax_for_shareholders_of_parent_company,a_short_term_assets,cash_and_cash_equivalents,short_term_financial_investments,short_term_trade_accounts_receivable,inventories,fixed_assets,total_assets,short_term_borrowings_and_financial_leases,long_term_borrowings_and_financial_leases,owners_equity,owners_capital,net_cash_flows_from_financing_activities,pe,pb,ps,trailing_eps,book_value_per_share,dividend_yield,ev_ebit,ev_ebitda
VIC,2022-Q2,13853819000000,18421093000000,-4567274000000,5547703000000,-3750773000000,2782426000000.0,1405383000000,515655000000,3190696000000,242652310000000,42230214000000,6096584000000,100299014000000,68659702000000,111514106000000,508608627000000,45927937000000.0,110949522000000.0,132006263000000,38688573000000,,-409.85,2.12,20.23,-173,34612,0,100.66,36.48
VIC,2022-Q3,28742356000000,22984053000000,5758303000000,5670962000000,4989886000000,3036936000000.0,5252320000000,506346000000,946781000000,269408836000000,26449568000000,2196725000000,129462314000000,85750571000000,114594496000000,555571017000000,62819714000000.0,109703346000000.0,137225413000000,38688573000000,,334.19,1.53,7.3,162,35980,0,46.12,21.51
VIC,2022-Q4,41167854000000,28363383000000,12804471000000,8853415000000,4207641000000,2953960000000.0,3954741000000,410321000000,1558987000000,272222529000000,26209213000000,4367612000000,117446829000000,98527655000000,122908696000000,574807290000000,48068184000000.0,120091950000000.0,135613097000000,38688573000000,,25.17,1.51,4.98,2107,35557,0,54,24.54
VIC,2023-Q1,38963374530610,34528470114466,4434904416144,5794071044763,4801847579379,3331489083311.0,4264286915184,589148950481,1066234558673,291950102720778,17449583846608,7151127480360,149222786414863,91911379543880,135367480959337,596877182337133,64421581812430.0,114346529382259.0,136311953870371,38688573060001,10831452140909,31.02,1.54,5.38,1748,35740,0,52.15,35.83
VIC,2023-Q2,47143305000000,36647547000000,10495758000000,6305589000000,4217470000000,3572352000000.0,3672016000000,397989000000,1865507000000,279246480000000,18444407000000,4919214000000,150591127000000,85648109000000,140537615000000,607981142000000,75351703000000.0,100697534000000.0,137705593000000,38688573000000,,35.77,1.41,4.13,1405,36106,0,52.01,18.41
VIC,2023-Q3,47947906000000,36208361000000,11739545000000,7003527000000,-2144358000000,5504380000000.0,4475332000000,567268000000,-669037000000,298026710000000,16882015000000,7369738000000,152023108000000,83672447000000,147864388000000,625387345000000,95183876000000.0,98292858000000.0,146942516000000,38688573000000,,46.75,1.22,3.73,988,38528,0,38.01,16.79
VIC,2023-Q4,27427772000000,30246755000000,-2818983000000,8162563000000,-11388010000000,5379584000000.0,1305848000000,494669000000,-158766000000,342609157000000,29289535000000,5671500000000,165398901000000,92730270000000,159594207000000,669617073000000,114522806000000.0,98789828000000.0,148021576000000,38785833000000,,80.85,1.15,6.22,542,38712,0,56.99,18.61
VIC,2024-Q1,21738502000000,23693642000000,-1955140000000,6756646000000,2937338000000,4829728000000.0,2493879000000,1335076000000,7934469000000,350049998000000,26653084000000,4416936000000,177746167000000,99346636000000,175829606000000,693948793000000,119716720000000.0,106799696000000.0,157752735000000,38785833000000,20047382000000,20.27,1.15,8.38,2313,41257,0,55.91,32.88
VIC,2024-Q2,43304370000000,34748104000000,8556266000000,9633750000000,1453668000000,5490250000000.0,4061753000000,684042000000,-3403875000000,341123648000000,28543920000000,4219321000000,161330795000000,104060718000000,190565701000000,722259294000000,110321883000000.0,112106419000000.0,162361354000000,38785833000000,,42.49,0.97,3.64,955,42462,0,40.19,13.93
VIC,2024-Q3,62850017000000,49776513000000,13073504000000,8669160000000,5590131000000,5608268000000.0,4705397000000,2014911000000,5294923000000,423990500000000,27040242000000,6424590000000,217470663000000,128229866000000,186833298000000,791473944000000,96768964000000.0,115120855000000.0,164256879000000,38785833000000,,16.6,0.98,2.56,2492,42958,0,36.35,12.8
VIC,2024-Q4,65243834000000,55244555000000,9999279000000,12678318000000,537056000000,6831882000000.0,5432527000000,1182459000000,2024698000000,400374790000000,42669127000000,6593349000000,190335782000000,112798518000000,182817531000000,839216200000000,97216594000000.0,126913155000000.0,153517550000000,38785833000000,,13.08,1.01,2.38,3055,40149,0,28.71,10.97
