period,trailing_eps,book_value_per_share,pe,pb,ps,dividend_yield,beta,ev_ebit,ev_ebitda
2026-Q1,1824,19875,46.89,6.79,10,0,1.45,70.95,50.14
2025-Q4,1785,19584,49.13,8.66,8.04,0,1.12,81.51,33.09
2025-Q3,2335,41723,74.21,4.19,17.34,0,1.18,72.38,25.75
2025-Q2,3537,40896,26.7,2.34,8.01,0,1.01,51.67,18.6
2025-Q1,2809,41178,20.36,1.41,2.64,0,0.96,33.38,21.92
2024-Q4,3055,40149,13.08,1.01,2.38,0,1,28.71,10.97
2024-Q3,2492,42958,16.6,0.98,2.56,0,0.95,36.35,12.8
2024-Q2,955,42462,42.49,0.97,3.64,0,0.79,40.19,13.93
2024-Q1,2313,41257,20.27,1.15,8.38,0,0.58,55.91,32.88
2023-Q4,542,38712,80.85,1.15,6.22,0,0.56,56.99,18.61
2023-Q3,988,38528,46.75,1.22,3.73,0,0.5,38.01,16.79
2023-Q2,1405,36106,35.77,1.41,4.13,0,0.45,52.01,18.41
2023-Q1,1748,35740,31.02,1.54,5.38,0,0.47,52.15,35.83
2022-Q4,2107,35557,25.17,1.51,4.98,0,0.47,54,24.54
2022-Q3,162,35980,334.19,1.53,7.3,0,0.55,46.12,21.51
2022-Q2,-173,34612,-409.85,2.12,20.23,0,0.51,100.66,36.48
2022-Q1,-685,35281,-111.35,2.3,16.99,0,0.66,108.41,48.66
2021-Q4,-852,41823,-111.68,2.27,10.5,0,0.69,-137.59,64.43
2021-Q3,1185,43177,74.25,2.04,11.12,0,0.72,73.74,50.71
2021-Q2,1759,42704,67.67,2.79,10.47,0,0.71,79.18,50.19
2021-Q1,1952,41324,60.39,2.85,17.12,0,0.71,92.62,60.38
2020-Q4,1463,40136,73.97,2.7,10.22,0,0.78,65.98,48.49
2020-Q3,2505,36823,36.53,2.48,8.62,0,0.81,62.62,48.43
2020-Q2,2202,36561,40.42,2.43,12.97,0,0.85,72.67,53.81
2020-Q1,2074,36102,40.21,2.31,18.1,0,0.9,65.2,45.96
2019-Q4,2284,35802,50.35,3.21,9.91,0,1.07,57.99,57.61
2019-Q3,1400,37481,85.58,3.2,12.33,0,1.1,101.1,75.65
2019-Q2,1461,37709,79.2,3.07,9.35,0,1.12,57.61,50.3
2019-Q1,1097,32076,105.66,3.61,16.11,0,1.11,117.29,81.24
2018-Q4,1104,31037,86.3,3.07,7.21,0,1.08,52.76,43.94
2018-Q3,1343,30740,73.18,3.2,11.58,0,1.14,85.21,84.73
2018-Q2,1325,32922,81.16,3.27,8.66,0,1.2,69.61,61.25
2018-Q1,1741,22545,67.34,5.2,10.87,0,1.35,97.79,86.41
2017-Q4,1739,19830,44.46,3.9,6.14,0,1.13,53.87,45.92
2017-Q3,872,18849,58.74,2.72,6.09,0,0.84,57.75,49.97
2017-Q2,833,16616,51.25,2.57,5.41,0,0.76,71.19,60.64
2017-Q1,724,16362,57.77,2.55,6.1,0,0.8,49.74,35.5
2016-Q4,719,16902,58.4,2.48,3.74,0,0.79,40.46,34.81
2016-Q3,968,15887,45.96,0,0,0,0.73,130.59,99.72
2016-Q2,1059,20695,46.63,0,0,0,0.61,52.68,43.73
2016-Q1,870,21125,54.26,2.23,5.7,0,0.62,41.7,32.59
2015-Q4,709,20048,64.46,2.28,5.27,0,0.74,61.37,48
2015-Q3,870,17128,47.95,2.43,8.93,0,0.74,108.45,83.46
2015-Q2,1480,20937,29.4,2.08,10.45,0.05,0.7,91.08,68.28
2015-Q1,2132,19215,22.04,2.45,9.68,0.05,0.72,80.24,65.05
2014-Q4,2989,14036,15.96,0,0,0.05,0.7,79.8,68.13
2014-Q3,3964,12886,12.11,3.72,6.61,0.04,0.78,43.2,41.14
2014-Q2,5129,18856,12.48,3.39,7.73,0,0.74,37.36,35.73
2014-Q1,8281,16726,8.88,4.39,11.06,0,0.67,46.12,41.86
2013-Q4,7583,19104,9.23,3.66,9.59,0.03,0.65,45.38,43.73
2013-Q3,7352,17656,8.5,3.54,6.43,0.03,0.62,22.64,22.02
2013-Q2,5572,15763,11.22,3.97,23.71,0.03,0.76,13.76,13.61
2013-Q1,1651,11685,38.47,5.43,48.89,0.03,0.87,91.66,68.97
2012-Q4,2523,15071,31.71,5.31,18.69,0,0.8,90.8,82.25
2012-Q3,2946,14017,28.17,5.92,37.89,0,0.81,146.09,124.81
2012-Q2,3733,13881,22.5,6.05,22.42,0,0.78,65.78,61.02
2012-Q1,3422,16133,28.05,5.95,21.96,0,0.92,49.2,45.43
