19. Lãi cơ bản trên cổ phiếu (VNÐ),cost_of_goods_sold,current_corporate_income_tax_expenses,deduction_from_revenue,deferred_income_tax_expenses,diluted_earnings_per_share,earnings_per_share,financial_expenses,financial_income,gross_profit,interest_expenses,minority_interest,net_profit_after_tax,net_revenue,operating_expenses,operating_profit,other_expenses,other_income,other_profit,period,profit_after_tax_for_shareholders_of_parent_company,profit_before_tax,revenue,share_of_associates_and_joint_ventures_result
925.0,78414392000000,6093841000000,19161000000,-167902000000,,,12068007000000.0,2237600000000.0,25937626000000,7522882000000.0,-1665239000000,5610779000000,104352018000000,11393858000000,5084455000000,503807000000,6956070000000,6452263000000,2026-Q1,7276018000000,11536718000000,104371179000000,371094000000.0
,126151720000000,7162558000000,13272000000,372955000000,,,16517839000000.0,10604897000000.0,37007681000000,8221721000000.0,-3187095000000,3581322000000,163159401000000,18081382000000,13622941000000,2867712000000,361606000000,-2506106000000,2025-Q4,6768417000000,11116835000000,163172673000000,609584000000.0
,46425078000000,1180051000000,7920000000,-181012000000,,,11787443000000.0,33505199000000.0,-7289975000000,9027158000000.0,2385154000000,3025338000000,39135103000000,9816249000000,4829457000000,1481307000000,676227000000,-805080000000,2025-Q3,640184000000,4024377000000,39143023000000,217925000000.0
,43394639000000,1302928000000,12999000000,93578000000,,,11230977000000.0,2537077000000.0,2917635000000,7733613000000.0,2846414000000,2265428000000,46312274000000,8224385000000,-13907759000000,946352000000,18516045000000,17569693000000,2025-Q2,-580986000000,3661934000000,46325273000000,92891000000.0
1876.0,64848134000000,4747228000000,4249000000,391366000000,,,7903431000000.0,3881715000000.0,19205215000000,6102357000000.0,-4735494000000,2243269000000,84053349000000,10250686000000,5157863000000,3126497000000,5350497000000,2224000000000,2025-Q1,6978763000000,7381863000000,84057598000000,225050000000.0
,55244555000000,3603654000000,4113000000,646414000000,,,7215431000000.0,10268342000000.0,9999279000000,6831882000000.0,-842239000000,1182459000000,65243834000000,12678318000000,537056000000,526883000000,5422354000000,4895471000000,2024-Q4,2024698000000,5432527000000,65247947000000,163184000000.0
,49776513000000,4742333000000,12381000000,-2051847000000,,,7603299000000.0,8572435000000.0,13073504000000,5608268000000.0,-3280012000000,2014911000000,62850017000000,8669160000000,5590131000000,1262322000000,377588000000,-884734000000,2024-Q3,5294923000000,4705397000000,62862398000000,216651000000.0
,34748104000000,3567759000000,5170000000,-190048000000,,,9058381000000.0,11177476000000.0,8556266000000,5490250000000.0,4087917000000,684042000000,43304370000000,9633750000000,1453668000000,546685000000,3154770000000,2608085000000,2024-Q2,-3403875000000,4061753000000,43309540000000,412057000000.0
,23693642000000,1229219000000,950000000,-70416000000,,,7276953000000.0,18940713000000.0,-1955140000000,4829728000000.0,-6599393000000,1335076000000,21738502000000,6756646000000,2937338000000,1519012000000,1075553000000,-443459000000,2024-Q1,7934469000000,2493879000000,21739452000000,-14636000000.0
,30246755000000,14554000000,24016000000,796625000000,,,6040548000000.0,5630560000000.0,-2818983000000,5379584000000.0,653435000000,494669000000,27427772000000,8162563000000,-11388010000000,1481631000000,14175489000000,12693858000000,2023-Q4,-158766000000,1305848000000,27451788000000,3524000000.0
,36208361000000,3913879000000,7950000000,-5815000000,,,8209852000000.0,1311631000000.0,11739545000000,5504380000000.0,1236305000000,567268000000,47947906000000,7003527000000,-2144358000000,692763000000,7312453000000,6619690000000,2023-Q3,-669037000000,4475332000000,47955856000000,17845000000.0
,36647547000000,3684514000000,879000000,-410487000000,,,4133990000000.0,4169858000000.0,10495758000000,3572352000000.0,-1467518000000,397989000000,47143305000000,6305589000000,4217470000000,945995000000,400541000000,-545454000000,2023-Q2,1865507000000,3672016000000,47144184000000,-8567000000.0
,34528470114466,3604349603621,11323235715,70788361082,,,3794874408262.0,10066515609815.0,4434904416144,3331489083311.0,-477085608192,589148950481,38963374530610,5794071044763,4801847579379,758271083160,220710418965,-537560664195,2023-Q1,1066234558673,4264286915184,38974697766325,-110626993555.0
,28363383000000,3618126000000,4189000000,-73706000000,,,2269396000000.0,2529341000000.0,12804471000000,2953960000000.0,-1148666000000,410321000000,41167854000000,8853415000000,4207641000000,439198000000,186298000000,-252900000000,2022-Q4,1558987000000,3954741000000,41172043000000,-3360000000.0
,22984053000000,4731400000000,49238000000,14574000000,,,5064995000000.0,9998675000000.0,5758303000000,3036936000000.0,-440435000000,506346000000,28742356000000,5670962000000,4989886000000,237936000000,500370000000,262434000000,2022-Q3,946781000000,5252320000000,28791594000000,-31135000000.0
,18421093000000,874772000000,292000000,14956000000,,,4259435000000.0,10665718000000.0,-4567274000000,2782426000000.0,-2675041000000,515655000000,13853819000000,5547703000000,-3750773000000,554986000000,5711142000000,5156156000000,2022-Q2,3190696000000,1405383000000,13854111000000,-42079000000.0
,18023838000000,1250784000000,10312000000,165338000000,,662.0,2787411000000.0,10737739000000.0,205072000000,2372279000000.0,-1941725000000,512031000000,18228910000000,6324096000000,1827019000000,97791000000,198925000000,101134000000,2022-Q1,2453756000000,1928153000000,18239222000000,-4285000000.0
,26217840000000,2277454000000,20346000000,602505000000,,,2788287000000.0,3212402000000.0,8239986000000,2560860000000.0,-3284837000000,-9248870000000,34457826000000,11535256000000,-2876914000000,3977010000000,485013000000,-3491997000000,2021-Q4,-5964033000000,-6368911000000,34478172000000,-5759000000.0
,18413296000000,2913077000000,4736000000,144423000000,,,2814957000000.0,1536362000000.0,11698283000000,2686664000000.0,608402000000,257066000000,30111579000000,7049394000000,3358772000000,184460000000,140254000000,-44206000000,2021-Q3,-351336000000,3314566000000,30116315000000,-11522000000.0
