symbol,name,total_shares,rate,date
VIC,Công ty Cổ Phần Tập Đoàn Đầu Tư Việt Nam,2520265316,0.3259,2026-03-23T15:53:11.3
VIC,Công ty Cổ phần Đầu tư và Phát triển Đường sắt Cao tốc VINSPEED,834212369,0.10787,2025-12-31T17:16:03.047
VIC,Phạm Nhật Vượng,703848781,0.09101,2025-12-31T17:18:09.503
VIC,Phạm Thu Hương,341221050,0.0442797,2026-02-02T16:12:13.047
VIC,Công ty Cổ phần Năng lượng Vinenergo,331412806,0.043,2026-02-02T16:10:09.397
VIC,Phạm Thúy Hằng,228326892,0.0296296,2026-02-02T16:12:13.063
VIC,"KEB Hana Bank, Co., Ltd.",63642515,0.0164,2025-10-05T12:54:27.52
VIC,Công ty Cổ phần Di Chuyển Xanh Và Thông Minh GSM,101531884,0.0131,2026-02-02T16:09:50.65
VIC,Công ty Cổ phần Vinpearl,69745069,0.009,2026-05-21T09:54:35.687
VIC,Công ty TNHH Bất Động Sản Hoa Phượng,29353951,0.0076,2025-10-05T12:54:27.52
VIC,VanEck Vietnam ETF,19749849,0.0051,2025-10-05T12:54:27.52
VIC,Công ty Cổ Phần Bất Động Sản Xavinco,16162447,0.0041,2025-10-05T12:54:27.52
VIC,Phạm Hồng Linh,27595006,0.003581,2026-02-02T16:15:24.857
VIC,Nguyễn Quốc Thành,25511272,0.0033106,2026-02-02T16:15:17.33
VIC,Vietnam Enterprise Investments Limited,7991221,0.00236257,2026-05-15T10:52:25.217
VIC,Công ty Cổ Phần Đầu Tư Xây Dựng Đại An,3304124,0.0017898107,2015-06-15T00:00:00
VIC,Phạm Thị Tuyết Mai,12252494,0.00158999,2025-12-29T13:51:24.653
VIC,Lê Minh Ngọc,4990828,0.0006477,2026-02-02T16:14:56.95
VIC,Phạm Văn Khương,2267587,0.0006,2025-10-05T17:26:41.38
VIC,Phan Quang Đăng,2432696,0.0003157,2026-02-02T16:13:47.41
VIC,Nguyễn Diệu Linh,1865418,0.0002421,2026-02-02T16:12:13.07
VIC,Phạm Minh Vũ,1507748,0.00019566,2025-12-29T13:51:24.657
VIC,Dương Thị Hoàn,1344644,0.0001745,2026-02-02T16:13:08.347
VIC,Nguyễn Việt Quang,1344392,0.0001745,2026-02-02T16:12:13.1
VIC,Quỹ Đầu tư Bất động sản Techcom Việt Nam,260000,7.687e-05,2026-05-18T14:10:19.173
VIC,Công ty TNHH Quản lý Quỹ Bảo Việt,115719,6.26838e-05,2015-06-15T00:00:00
VIC,HOÀNG BẠCH DƯƠNG,99787,5.40536e-05,2015-09-14T00:00:00
VIC,Phan Hồng Nhung,410284,5.324e-05,2025-12-29T13:51:24.657
VIC,Hoàng Văn Sơn,84375,4.5705e-05,2015-09-14T00:00:00
VIC,Quỹ ETF SSIAM VNX50,150667,4.454e-05,2026-05-18T14:10:19.173
VIC,Nguyễn Thế Anh,327708,4.25e-05,2026-02-02T16:13:08.353
VIC,Mai Thu Thủy,316248,4e-05,2026-02-02T16:14:30.783
VIC,Nguyễn Thị Thu Hiền,300392,3.9e-05,2026-02-02T16:13:08.37
VIC,Dương Thị Hằng,300262,3.9e-05,2026-02-02T16:14:06.683
VIC,Phạm Nhật Quân Anh,300000,3.89e-05,2026-02-02T16:09:08.79
VIC,Mai Hương Nội,300000,3.89e-05,2026-02-02T16:13:08.377
VIC,Quỹ Đầu tư Cổ phiếu Manulife,67658,2e-05,2026-05-18T14:10:19.173
VIC,Nguyễn Trọng Hiền,35343,1.91449e-05,2015-09-14T00:00:00
VIC,Quỹ Đầu tư Cổ phiếu Năng động Bảo Việt,48433,1.4319e-05,2020-07-14T15:05:24.437
VIC,Quỹ Đầu tư Tăng trưởng DFVN,31000,9.17e-06,2026-05-18T14:10:19.173
VIC,Phạm Thy Thơ,15795,8.5559e-06,2015-09-14T00:00:00
VIC,Trần Anh Tuấn,5299,2.8704e-06,2015-09-14T00:00:00
VIC,Lê Thị Thu Thủy,3927,2.1272e-06,2015-09-14T00:00:00
