symbol,name,rate,sub_symbol
VIC,Công Ty TNHH Dịch Vụ Vận Tải Sinh Thái Vinbus,1.0,VINBUS
VIC,Công ty Cổ Phần Vinwonders,1.0,VINCONNECT
VIC,Công ty TNHH MTV Thương mại Đầu tư và Phát triển Thời Đại,1.0,TDIT
VIC,Công ty TNHH Kinh Doanh Và Thương Mại Dịch Vụ Vinpro,1.0,VINPRO
VIC,Công ty TNHH World Academy,1.0,12584
VIC,Công ty Cổ Phần Giải Pháp Và Dịch Vụ Công Nghệ Vantix,1.0,VANTIX
VIC,Công Ty TNHH Dịch Vụ Bảo Vệ Vincom,1.0,VICS
VIC,Công ty TNHH Kinh Doanh Và Phát Triển Đô Thị Nam Hà Nội,1.0,HNSOUTHERN
VIC,Công ty Cổ Phần Nghiên Cứu Và Ứng Dụng Trí Tuệ Nhân Tạo Vinai,1.0,12599
VIC,Công ty TNHH Giáo Dục Và Đào Tạo Vinacademy,1.0,VINACADEMY
VIC,Công ty Cổ phần VinSmart Future,0.9999,12600
VIC,CÔNG TY CỔ PHẦN NGHIÊN CỨU VÀ SẢN XUẤT VINBIOTECH,0.9989,12581
VIC,Công ty Cổ Phần Vinsoc,0.9985,HMSSOFTWARE
VIC,Công ty Cổ phần VinApp,0.9985,2251262
VIC,Công ty Cổ phần VinCargo,0.99,2676542
VIC,Công ty TNHH Vingroup Global,0.9853,VINGLOBAL
VIC,Công ty TNHH Sản Xuất Pin Lithium Vinfast,0.9853,12608
VIC,Công ty Cổ phần Nghiên cứu và Sản xuất Vinsmart,0.9853,VINSMART
VIC,Công ty TNHH Vinpearl Australia,0.9853,12575
VIC,Công ty TNHH Vinsmart Trading And Investment PTE. LTD.,0.9853,12601
VIC,Công ty TNHH Cape Wickham Golf,0.9853,12577
VIC,"Công ty TNHH Vingroup Investment Pte. Ltd.,",0.9829,12590
VIC,Công ty Cổ phần Sản xuất và Kinh doanh Vinmetal,0.98,2799244
VIC,Công ty Cổ phần Cảng Nha Trang,0.9783,CNH
VIC,Công ty Cổ Phần Bất Động Sản Xavinco,0.9616,XAVICO
VIC,Công ty Cổ Phần Vin3s,0.8741,VINFA
VIC,Công ty Cổ Phần Phát Triển Công Nghệ Vintech,0.8667,VINTECH
VIC,Công ty TNHH Đầu Tư Và Phát Triển Du Lịch Phúc An,0.8569,PHUCANTRAVEL
VIC,Công ty Cổ phần Đầu Tư Và Phát Triển Khách Sạn Landmark 81,0.8555,12578
VIC,Công ty Cổ Phần Vinpearl Cửa Hội,0.8555,2251263
VIC,Công ty Cổ phần Đầu Tư Và Phát Triển Khách Sạn Thanh Hóa,0.8554,2803022903
VIC,Công ty Cổ phần Vinpearl,0.8551,VPL
VIC,Công ty Cổ phần Trung tâm Hội chợ Triển lãm Việt Nam,0.8332,VEF
VIC,Công ty VinTech - Nhật Bản,0.8,VINTECHJP
VIC,Công ty Cổ phần Hàng không Vinpearl Air,0.8,VPAIR
VIC,Công ty TNHH Vingroup Ru,0.8,VICRU
VIC,Công ty TNHH triển khai hệ thống phần mềm Vinsoftware,0.8,VINSOFTWARE
VIC,Công ty CP Đầu Tư Kinh Doanh Vmc Holding,0.7803,12580
VIC,Công ty Cổ phần Kinh doanh và Phát triển thương mại An Thịnh,0.7758,ANTHINHTRA
VIC,Công ty Cổ phần Đầu Tư Và Phát Triển Sinh Thái,0.7377,DTPTSINHTHAI
VIC,Công ty Cổ phần Đô Thị Du Lịch Cần Giờ,0.7361,CTCCORP
VIC,Công ty Cổ Phần Delta,0.7359,DELTACORP
VIC,Công ty TNHH Metropolis Hà Nội,0.7357,METRO
VIC,Công ty CP Du Lịch Cá Tầm,0.7356,12612
VIC,Công ty CP Đầu Tư Hiệp Thành Công,0.7356,12611
VIC,Công Ty Cổ Phần Đầu Tư Cam Ranh,0.7355,12570
VIC,Công Ty Cổ Phần Muối Cam Ranh,0.7351,4200402472
VIC,Công ty Cổ Phần Phát Triển Xây Dựng Vincons Windows,0.7351,4201967027
VIC,Công ty Cổ Phần Phát Triển Gs Củ Chi,0.7351,GSCD
VIC,Công ty TNHH Thương Mại Đầu Tư Và Phát Triển Thiên Niên Kỷ,0.7351,MTRA
VIC,Công ty Cổ phần Phát Triển Và Đầu Tư Xây Dựng Vincons,0.7351,12586
VIC,Công ty CP Đầu Tư Phát Triển Newland,0.7345,0317960457
VIC,Công ty Cổ Phần Đầu Tư Xây Dựng Đại An,0.7344,12569
VIC,Công ty Cổ Phần Đầu Tư Khu Công Nghiệp Vinhomes Hà Tĩnh,0.7339,0110873550
VIC,Công ty TNHH Đầu Tư Phát Triển Bất Động Sản Vịnh Xanh 2,0.7334,0901165977
VIC,Công ty TNHH Đầu Tư Và Phát Triển Đô Thị Gia Lâm,0.7332,GLURBAN
VIC,Công ty TNHH Phát Triển Bất Động Sản Vịnh Xanh 1,0.7332,0901165984
VIC,Công ty Cổ Phần Đầu Tư Khu Công Nghiệp Vinhomes Hải Phòng,0.7305,0110873568
VIC,Công ty Cổ Phần Đầu Tư Khu Công Nghiệp Vinhomes,0.7305,VINVENTURES
VIC,Công ty Cổ Phần Kinh Doanh Và Phát Triển Sinh Thái,0.7289,12585
VIC,Công Ty Cổ Phần Đầu Tư & Phát Triển Bất Động Sản Trường Thịnh,0.7283,0313124099
VIC,Công ty TNHH Kinh doanh Bất động sản Phú Gia,0.7236,PHUGIARE
VIC,Công ty Cổ phần Vinhomes,0.7207,NHN
VIC,Công ty Cổ Phần Sàn Giao Dịch Bất Động Sản Thành Phố Hoàng Gia,0.7193,DIAOCTPHG
VIC,Công ty Cổ phần Đô Thị Đại Học Quốc Tế Berjaya Việt Nam,0.716,BERJAYAVIUT
VIC,Công Ty TNHH Xalivico,0.7116,XALIVICO
VIC,Công ty TNHH MTV Vạn Khoa Lục Yên,0.7094,12591
VIC,Công Ty Cổ Phần Đầu Tư Kinh Doanh Bất Động Sản Thăng Long,0.7035,TLRE
VIC,Công ty TNHH Bảo Lai Australia,0.7001,12588
VIC,Công Ty Cổ Phần Vinpearl Invest,0.7,12574
VIC,Công ty TNHH Phát Triển Công Viên Trung Tâm,0.693,CPDLLC
VIC,Công ty TNHH Bất Động Sản Tây Tăng Long,0.6616,TTLRE
VIC,Công ty Cổ Phần Bất Động Sản Sv Tây Hà Nội 2,0.6581,0110537975
VIC,Công ty Cổ phần Sách Việt Nam,0.6533,SAVINA
VIC,Công Ty Cổ Phần Dịch Vụ An Ninh Mạng Vincss,0.65,VINCSS
VIC,Công ty Cổ Phần Vinschool,0.6143,VINSCHOOL
VIC,Công ty TNHH Nghiên cứu và Tư vấn EduCore,0.6142,2676548
VIC,Công ty Cổ phần Đầu Tư Phát Triển VS,0.6142,0110006565
VIC,Công ty Cổ phần VinID Pay,0.6097,VINIDPAY
VIC,Công ty Cổ Phần Đầu Tư Vincom Retail,0.6027,0110009975
VIC,Công ty TNHH Vincom Retail Miền Nam,0.5686,SRETAIL
VIC,Công ty Cổ Phần Đầu Tư Bất Động Sản Hà Thành,0.5686,HATHANHRE
VIC,Công ty Cổ phần Tư Vấn Đầu Tư Và Đầu Tư Việt Nam,0.5164,VNINCO
VIC,Công ty Cổ Phần One Mount Consumer,0.5122,VINID
VIC,Công ty Cổ Phần Nghiên Cứu Phát Triển Và Ứng Dụng Người Máy Vinrobotics,0.51,0110896484
VIC,"Công ty Cổ phần Nghiên cứu, Phát triển và Ứng dụng Robot hình người VinDynamics",0.51,2676559
VIC,Công ty Cổ Phần Nghiên Cứu Phát Triển Và Ứng Dụng Người Máy Đa Năng Vinmotion,0.51,0110936722
VIC,Công ty TNHH Vinfast Auto Canada,0.5094,12606
VIC,Vinfast Netherlands B.v,0.5092,12607
VIC,Công Ty Cổ Phần Vingroup Investment Việt Nam,0.5092,VTECHVENTURES
VIC,Vinfast Usa Distribution Llc,0.5092,F000027419
VIC,Công ty TNHH Vinfast France,0.5092,12605
VIC,Công ty Phát triển Vinfast Automobile Indonesia,0.5085,2348521
VIC,Công ty Vinfast Auto Philippines Corp.,0.5067,2442691
VIC,Vinfast Middle East FZE,0.5065,2442686
VIC,Công ty Vinfast Auto India Private Limited,0.5065,2442682
VIC,Công ty Vinfast Kazakhstan,0.5065,2442688
VIC,"Công ty Vinfast Auto Mexico, S.DERLDECV",0.5065,2442692
VIC,Công ty Vinfast UK Ltd,0.5065,2442684
VIC,"Vinfast Auto (Thailand) Co., Ltd",0.5065,2442685
VIC,Công ty TNHH Vinfast Usa Distribution,0.5065,12603
VIC,Vinfast Auto Llc,0.5065,F201212732
VIC,Vinfast Auto Pte Ltd,0.5065,F201221267
VIC,Vinfast Manufacturing Us Llc,0.5065,F201221270
VIC,VinGroup USA LLC,0.5065,F000029694
VIC,Công ty Cổ Phần Đầu Tư Và Phát Triển Vinfast,0.506,0202266186
VIC,Công ty Cổ phần Sản xuất và Kinh doanh Vinfast,0.506,VINFAST
VIC,Vinfast Engineering Australia Pty Ltd,0.506,VFENAUS
VIC,Công ty CỔ PHẦN GIẢI PHÁP NĂNG LƯỢNG XANH VINEG,0.506,2446976
VIC,Vinfast Germany Gmbh Company Limited,0.506,F000028191
VIC,Công ty Cổ Phần Giải Pháp Năng Lượng Vines Hà Tĩnh,0.505,12602
VIC,CÔNG TY TNHH PIN LITHIUM V-G,0.505,12582
VIC,Công ty TNHH Kinh Doanh Thương Mại Và Dịch Vụ Vinfast,0.5035,VINFASTCS
VIC,Công ty PT Vinfast Trading Indonesia,0.5034,2628962
VIC,Công ty TNHH Vinbrain,0.4974,VINBRAIN
VIC,Công ty Cổ phần Phát triển Thành Phố Xanh,0.4939,PTTPXANH
VIC,Công ty CP Thương Mại Và Đầu Tư Sơn Thái,0.4938,12571
VIC,Công ty TNHH Thương Mại Và Phát Triển Kinh Doanh Sao Mai,0.4897,2442678
VIC,Công Ty Cổ Phần Đầu Tư Xây Dựng Thái Sơn,0.4897,THAISONINV
VIC,Công ty TNHH Phát triển Bất động sản TS Holding,0.4858,2442672
VIC,Công ty Cổ Phần Đầu Tư Vạn Khoa,0.4826,12589
VIC,Công ty Cổ phần Đá Cẩm Thạch Dốc Thẳng,0.4808,12596
VIC,Công ty TNHH Phát triển Bất động sản TPX Holding,0.4784,2442674
VIC,Công ty Cổ Phần Khoáng Sản Phan Thanh,0.4779,12593
VIC,Công ty TNHH Đá Cẩm Thạch An Phú,0.4764,12595
VIC,Công ty TNHH Bảo Lai Green,0.4764,5702151087
VIC,Công Ty Tnhh Một Thành Viên Khai Thác Khoáng Sản Bảo Lai Lục Yên,0.4764,12594
VIC,Công ty TNHH MTV Đá Trắng Bảo Lai,0.4764,12597
VIC,Công ty Cổ phần Đầu Tư Bảo Lai,0.4764,12598
VIC,"Deep Technology & Engineering Services, S.L",0.408,DEEPTECH
VIC,Electronic 2 Trade,0.408,ELEC2
VIC,Mundo Reader S.R.L,0.408,MUNDOSRL
VIC,Education Y Robotica S.L,0.408,EDUYROBOT
VIC,Mundo Reader S.L,0.408,MUNDOSL
VIC,Smart European Devices Limited,0.408,SMARTEU
VIC,3D Printing & Printers,0.408,PRINT3D
VIC,"Inteligencia Operacional Para La Ingenieria, S.L",0.408,INTELOPE
VIC,"Iot & Mobility Y Commerce, S.L",0.408,IOTMY
VIC,"Bq-Mundo Rader, Unipessoal Lda",0.408,MUNDOBQ
VIC,Mundo Reader Gmbh,0.408,MUNDOGMBH
VIC,Fundacion Para La Education Y EI Desarrollo Tecnologico,0.408,FUNDACION
VIC,Luarnna Ediciones S.L,0.408,LUARNNA
VIC,Mundo Reader France S.A.R.L,0.408,MUNDOSARL
VIC,"Contact Services For Satisfaction, S.L",0.408,CONTACTSER
VIC,Xibantronics Trading Company Ltd,0.408,XIBANTRA
VIC,Công Ty TNHH Trung Tâm Tài Chính Việt Nam Berjaya,0.3305,BERJAYAVFC
VIC,Marcha Technology S.L,0.2248,MARCHA
VIC,Công ty Cổ Phần One Mount Group,0.2622,ONEMOUNT
VIC,Công ty Cổ phần Vincom Retail,0.1837,VRJSC
VIC,Công ty Cổ Phần Quỹ Đầu Tư Mạo Hiểm Vinventures,0.08,0110859676
VIC,Công ty Cổ phần Bê tông Ngoại Thương,0.0,FTCO
VIC,Công ty Cổ phần Tập đoàn Kỹ nghệ Gỗ Trường Thành,0.0,TTF
VIC,Công Ty Cổ Phần Bao Bì Trường Thành,0.0,TTPACK
