ticker,period,net_revenue,cost_of_goods_sold,gross_profit,operating_expenses,operating_profit,interest_expenses,profit_before_tax,net_profit_after_tax,profit_after_tax_for_shareholders_of_parent_company,a_short_term_assets,cash_and_cash_equivalents,short_term_financial_investments,short_term_trade_accounts_receivable,inventories,fixed_assets,total_assets,short_term_borrowings_and_financial_leases,long_term_borrowings_and_financial_leases,owners_equity,owners_capital,net_cash_flows_from_financing_activities,pe,pb,ps,trailing_eps,book_value_per_share,dividend_yield,ev_ebit,ev_ebitda
VNM,2022-Q2,14930275292637,8853615491038,6076659801599,3693139981690,2600935725205,36701642341.0,2576057643749,2102266910575,2082981126147,36871285863860,4507497088287,18976163363916,6040009761668,7096208618612,12266369373175,53842175999663,9701229190460.0,74459700000.0,36820519100790,20899554450000,,15.93,4.1,10.11,4531,17618,0.04,60.8,36.68
VNM,2022-Q3,16079491424130,9729311781833,6350179642297,3661763650814,2888929476609,49942302240.0,2859883167326,2322872196505,2298398907051,34373292456500,2867857717514,19533563143705,5954158809895,5777310525795,11989258352342,51199903422164,9405653167691.0,71579812500.0,33844385381769,20899554450000,,17.09,4.46,9.4,4231,16194,0.05,55.13,34.51
VNM,2022-Q4,15068654657453,9223066245408,5845588412045,3783930966882,2229048854727,53226546796.0,2295242241834,1869121558170,1869125571613,31560382174201,2299943527624,17414055328683,6100402870854,5537563396117,11903207642940,48482664236220,4867129839103.0,66028725000.0,32816518355085,20899554450000,,18.68,4.85,10.55,4075,15702,0.07,70.11,40.95
VNM,2023-Q1,13918391926640,8520365614981,5398026311659,3330935021315,2314795307642,82291916805.0,2312046425953,1906226399078,1856733257236,32394853632375,2011202511723,16801331801284,6619266952011,6704642178199,11893893630404,49264785492099,6889265980740.0,61054012500.0,34510226162818,20899554450000,-890593384062,19.18,4.51,11.17,3879,16512,0.05,68.26,54.75
VNM,2023-Q2,15194824955693,9044632886807,6150192068886,3630252920552,2776744398740,95970637757.0,2727998544003,2229157889759,2198811184561,33403479517290,1582506692207,19083000543582,6142392930802,6319892419521,11821447407199,50968781757650,6128144184250.0,279412788750.0,36660049706993,20899554450000,,18.05,4.05,9.77,3935,17541,0.05,55.38,34.07
VNM,2023-Q3,15636987684682,9082087041307,6554900643375,3814688737481,3086270738943,79600679532.0,3075789821151,2533264386259,2492254015001,37680161943052,6875567986039,19012123617176,5931433000484,5697772718120,12056272942904,54967436003598,6873932117860.0,282904335540.0,34003064009307,20899554450000,,18.42,4.56,9.92,4027,16270,0.05,50.3,32.14
VNM,2023-Q4,15618710944490,9177098353000,6441612591490,3997835560728,2725822436482,96231603161.0,2852064600379,2350705489955,2326013960066,35935879621477,2912027359925,20137243800460,6529705184034,6128081805088,12689652377511,52673371104460,8217757172267.0,238476074100.0,35025743765470,20899554450000,,15.92,4.03,9.05,4246,16759,0.04,50.93,31.4
VNM,2024-Q1,14112411317058,8200889872493,5911521444565,3491189436729,2715537085273,86395425954.0,2705840401722,2206983369589,2194666965600,35013917574413,1788254863348,20268129028720,5868614319329,6780799942377,12472420651267,51653869771730,6616831614710.0,211808624280.0,35867590635494,20899554450000,-2007604609500,15.34,3.94,10.01,4408,17162,0.06,53.84,44.77
VNM,2024-Q2,16655787772473,9588268993189,7067518779284,4030590059647,3325773210703,64294446778.0,3308642928230,2695965221114,2670475017284,37332761258942,1198562887528,23030876331498,6344861898250,6524270542824,12295719976946,54193954187994,7794314406895.0,183388966131.0,38337447333457,20899554450000,,14.14,3.57,8.22,4633,18344,0.06,43.78,28.36
VNM,2024-Q3,15537337313473,9135891859183,6401445454290,3758151975439,2970748116715,62624826693.0,2941801640478,2403153055268,2403519104884,40582371278735,2616234711174,25982843560980,5606208371600,6103016741628,11854249093819,57677080306452,8291496866090.0,157809038000.0,35244275911882,20899554450000,,15.27,4.16,9.43,4591,16864,0.05,51.99,32.35
VNM,2024-Q4,15477073125441,9267382480456,6209690644985,3905692163978,2581919225696,66109861870.0,2643368770905,2146791343977,2123649268483,37553650065098,2225943732075,23260088671767,6233758612009,5686840161996,12550564799221,55049061537061,9115435107250.0,157903902450.0,36174402829663,20899554450000,,14.11,3.66,8.56,4494,17309,0.06,52.94,31.51
VNM,2025-Q1,12934505332856,7724022892977,5210482439879,3600686624763,1950556716681,75155207673.0,1951296195523,1587273268054,1568482188101,38407988421683,2538024316626,23170818696485,5469228387577,6979212103573,12309661362750,55013790227766,10060066017395.0,153956088000.0,37622488552015,20899554450000,-106233904950,14.45,3.37,9.79,4194,18002,0.05,68.22,54.47
VNM,2025-Q2,16724597479554,9702919554414,7021677925140,4173625417131,3118598303706,85204331624.0,3096088533277,2488584680280,2474585297998,38255091705279,2498443286245,22249418458587,6147236082985,7047730548255,12784785512923,55282661244375,9636808735983.0,152078435000.0,35687053148557,20899554450000,,14.14,3.4,7.25,4101,17076,0.09,41.62,26.27
VNM,2025-Q3,16953231537863,9865934701695,7087296836168,4039538049711,3157752824075,75464626344.0,3125600614052,2510532743203,2526766558891,38746850813464,5154466367051,21133947314899,5910568513570,6308583334358,12862945466334,55677822006663,8124847764469.0,147666530200.0,37952798707867,20899554450000,,14.42,3.3,7.4,4160,18160,0.04,41.35,26.02
VNM,2025-Q4,17033552405954,10143535412610,6890016993344,3731908897788,3432867145001,89980184766.0,3476999882086,2827199040932,2840367601702,36261180908033,1794879718871,21354863600460,6027719081073,6839279842936,12648916412221,53312370717301,9393736731992.0,62907826150.0,34483015286107,20899554450000,,13.59,3.71,7.51,4503,16499,0.08,39.07,25.73
VNM,2026-Q1,16148657871623,9252731827546,6895926044077,4184472830956,2991830566118,118301437284.0,3014396468576,2458221002532,2428719813104,38757016956726,2077596293461,23002417266337,5591443574678,7399150703886,11345204839583,55429011127169,10334848158086.0,31134191400.0,36688079277039,20899554450000,895708334480,12.31,3.45,7.83,4914,17554,0.08,44.23,37.75
