period,trailing_eps,book_value_per_share,pe,pb,ps,dividend_yield,beta,ev_ebit,ev_ebitda
2026-Q1,4914,17554,12.31,3.45,7.83,0.08,0.47,44.23,37.75
2025-Q4,4503,16499,13.59,3.71,7.51,0.08,0.52,39.07,25.73
2025-Q3,4160,18160,14.42,3.3,7.4,0.04,0.52,41.35,26.02
2025-Q2,4101,17076,14.14,3.4,7.25,0.09,0.57,41.62,26.27
2025-Q1,4194,18002,14.45,3.37,9.79,0.05,0.63,68.22,54.47
2024-Q4,4494,17309,14.11,3.66,8.56,0.06,0.59,52.94,31.51
2024-Q3,4591,16864,15.27,4.16,9.43,0.05,0.49,51.99,32.35
2024-Q2,4633,18344,14.14,3.57,8.22,0.06,0.49,43.78,28.36
2024-Q1,4408,17162,15.34,3.94,10.01,0.06,0.52,53.84,44.77
2023-Q4,4246,16759,15.92,4.03,9.05,0.04,0.51,50.93,31.4
2023-Q3,4027,16270,18.42,4.56,9.92,0.05,0.47,50.3,32.14
2023-Q2,3935,17541,18.05,4.05,9.77,0.05,0.42,55.38,34.07
2023-Q1,3879,16512,19.18,4.51,11.17,0.05,0.41,68.26,54.75
2022-Q4,4075,15702,18.68,4.85,10.55,0.07,0.45,70.11,40.95
2022-Q3,4231,16194,17.09,4.46,9.4,0.05,0.52,55.13,34.51
2022-Q2,4531,17618,15.93,4.1,10.11,0.04,0.59,60.8,36.68
2022-Q1,4891,16736,16.54,4.83,12.18,0.05,0.61,64.93,54.45
2021-Q4,5040,17154,17.14,5.04,11.41,0.04,0.6,70.24,42.61
2021-Q3,5075,16208,17.65,5.53,11.56,0.04,0.6,54.59,36.89
2021-Q2,5382,16448,16.8,5.5,12.02,0.05,0.63,56.69,37.58
2021-Q1,5752,16251,17.11,6.05,15.59,0.05,0.64,67.53,57.37
2020-Q4,6112,16102,17.8,6.76,15.76,0.03,0.67,72.22,62.1
2020-Q3,6383,18199,17.06,5.98,12.18,0.04,0.76,50.82,45.07
2020-Q2,6161,18577,18.29,6.07,12.67,0.04,0.69,53.47,47.77
2020-Q1,6061,18518,15.01,4.91,11.2,0.05,0.68,48.04,41.3
2019-Q4,6076,17073,19.17,6.82,14.25,0.04,0.7,76.6,52.94
2019-Q3,6132,15988,21.15,8.11,15.8,0.03,0.75,69.81,61.46
2019-Q2,6286,16615,19.57,7.4,14.12,0.04,0.74,50.43,44.34
2019-Q1,6423,16609,20.99,8.12,16.39,0.03,0.73,58.52,51.31
2018-Q4,6645,15086,18.06,7.95,14.19,0.04,0.72,64.55,55.65
2018-Q3,6612,14902,20.77,9.21,14.62,0.04,0.64,65.61,58.81
2018-Q2,6757,18285,25.16,9.3,18.01,0.03,0.64,77.85,71.27
2018-Q1,6933,18116,29.28,11.21,24.31,0.03,0.69,92.9,82.87
2017-Q4,7094,16450,29.41,12.68,24.51,0.03,0.78,144.59,82.29
2017-Q3,7152,16556,20.86,9.01,16.29,0.03,0.75,66.57,64.24
2017-Q2,7299,17055,21.59,9.24,16.55,0.04,0.64,65.87,60.67
2017-Q1,7557,17238,18.96,8.31,15.93,0.04,0.55,58.73,53.92
2016-Q4,7298,15437,17.21,8.14,13.62,0.05,0.57,81.91,72.52
2016-Q3,7744,14299,18.08,10.02,14.83,0.04,0.61,66.39,61.29
2016-Q2,7759,19112,18.17,0,0,0.04,0.61,49.81,45.99
2016-Q1,7532,19050,17.79,7.45,15.81,0.04,0.63,61.24,55.18
2015-Q4,7296,17427,17.54,7.34,12.69,0.05,0.6,67.17,61.09
2015-Q3,7515,16005,13.31,0,0,0.06,0.54,46.98,42.43
2015-Q2,7116,21259,15.88,5.32,10.77,0.04,0.71,42.74,39.15
2015-Q1,6772,21248,15.65,4.99,11.66,0.04,0.71,55.43,48.65
2014-Q4,6870,19668,13.9,4.86,9.38,0.04,0.79,43.79,39.89
2014-Q3,6925,18111,15.16,5.8,10.53,0.05,0.91,61.3,53.72
2014-Q2,7347,22246,16.61,5.48,11.02,0.04,0.91,51.23,45.65
2014-Q1,7667,22539,18.39,6.26,15.31,0.03,0.87,66.57,58.21
2013-Q4,7999,21039,16.88,0,0,0.03,0.78,59.88,45.13
2013-Q3,9018,20250,15.63,6.96,14.65,0.03,0.76,56.33,51.19
2013-Q2,9546,20423,13.83,6.46,12.5,0.03,0.64,48.61,46.19
2013-Q1,10071,20231,11.52,5.73,12.08,0.03,0.63,50.89,47.03
2012-Q4,10471,18578,8.4,4.74,7.8,0.05,0.54,38.06,35.58
2012-Q3,10210,25191,11.46,4.64,9.83,0.03,0.47,38.7,36.01
2012-Q2,10544,24932,8.35,3.53,6.4,0.05,0.42,25.67,24.13
2012-Q1,10824,24493,8.5,3.76,7.26,0.02,0.44,31.54,29.26
