symbol,name,total_shares,rate,date
VNM,Tổng Công ty Đầu Tư Và Kinh Doanh Vốn Nhà Nước - Công ty TNHH,752476602,0.36,2026-01-27T10:33:55.527
VNM,F&N Dairy Investments Private Limited,465847490,0.2229,2026-01-27T10:34:58.633
VNM,F&n Bev Manufacturing Pte. Ltd.,56432376,0.027,2026-01-27T10:34:47.307
VNM,Platinum Victory Private Limited,52551922,0.0251,2026-05-13T09:15:55.09
VNM,Ngân hàng Deutsche Aktiengesellschaft,26297320,0.0219118879,2015-06-15T00:00:00
VNM,Fubon FTSE Vietnam ETF,26733100,0.0128,2025-10-05T12:54:27.52
VNM,Employees Provident Fund Board,26565864,0.0127,2025-10-05T12:54:27.52
VNM,Matthews Pacific Tiger Fund,17993828,0.0086,2025-10-05T12:54:27.52
VNM,VanEck Vietnam ETF,15070141,0.0072,2025-10-05T12:54:27.52
VNM,Deutsche Asset Management (Asia) Limited,6305772,0.0052541996,2015-06-15T00:00:00
VNM,Norges Bank,10807900,0.0052,2025-10-05T12:54:27.52
VNM,Beira Limited,5904008,0.0049194352,2015-06-15T00:00:00
VNM,Công ty TNHH Manulife (Việt Nam) (Manulife),9695600,0.0046,2025-10-05T12:54:27.52
VNM,KIM Vietnam Growth Equity Fund,9485900,0.0045,2025-10-05T12:54:27.52
VNM,Merrill Lynch International,9407528,0.0045,2025-10-05T12:54:27.52
VNM,Fidelity Investment Trust - Fidelity Series Emerging Markets Fund,7770400,0.0045,2025-10-05T12:54:27.52
VNM,Citigroup Global Markets Ltd,8631945,0.0041,2025-10-05T12:54:27.52
VNM,Government Of Singapore,7274316,0.0035,2025-10-05T12:54:27.52
VNM,Mai Kiều Liên,6400444,0.0031,2026-01-27T10:29:46.657
VNM,KITMC Worldwide Vietnam RSP Balanced Fund,3240020,0.002699703,2015-06-15T00:00:00
VNM,Grinling International Limited,2941221,0.002,2025-10-05T12:54:27.52
VNM,Arisaig ASEAN Fund Limited,1953480,0.0016277109,2015-06-15T00:00:00
VNM,Food & Beverage,1766833,0.0014721898,2015-06-15T00:00:00
VNM,DC Developing Markets Strategies Public Limited Company,1524615,0.0011,2025-10-05T12:54:27.52
VNM,PXP Vietnam Emerging Equity Fund,1887511,0.00108392,2025-10-05T12:54:27.52
VNM,Quỹ ETF DCVFMVN30,1392470,0.00079964,2026-05-18T14:10:19.22
VNM,Greystanes Limited Company,711582,0.0005929161,2015-06-15T00:00:00
VNM,Nguyễn Thị Thanh Hòa,1108184,0.0005,2025-10-05T17:26:41.38
VNM,Quỹ Đầu tư Cổ phiếu Hàng Đầu VCBF,854390,0.00049064,2026-05-18T14:10:19.22
VNM,Quỹ Đầu tư Cổ phiếu Tăng trưởng Mirae Asset Việt Nam,800000,0.00045941,2026-05-18T14:10:19.22
VNM,Quỹ Đầu tư Cổ phiếu Việt Nam Chọn lọc,722910,0.0004151368,2020-07-14T15:05:24.437
VNM,Trần Minh Văn,887236,0.0004,2025-10-05T17:26:41.38
VNM,Quỹ Đầu tư Chứng Khoán Năng động DC,548857,0.00031519,2026-05-18T14:10:19.22
VNM,Indochina Capital Vietnam Holdings Ltd.,376800,0.0003139635,2015-06-15T00:00:00
VNM,Lê Thị Ngọc Thuý,619303,0.0002963,2026-01-27T10:35:35.137
VNM,Mai Hoài Anh,512511,0.000245,2025-10-05T17:26:41.38
VNM,Lê Thành Liêm,493381,0.00024,2026-01-27T10:29:46.69
VNM,Nguyễn Thị Như Hằng,279572,0.0002329496,2015-09-14T00:00:00
VNM,Quỹ Đầu tư Cổ phiếu Tập trung Cổ tức DC,400000,0.0002297032,2020-07-14T15:05:24.437
VNM,Nguyễn Hữu Ngọc Trân,211117,0.0001759103,2015-09-14T00:00:00
VNM,Quỹ Đầu tư Cổ phiếu Hưng Thịnh Vinacapital,272983,0.0001567627,2020-07-14T15:05:24.437
VNM,Dương Thị Ngọc Trinh,275976,0.000132,2025-10-05T12:54:27.52
VNM,Nguyễn Minh Ân,251721,0.00012,2025-10-05T12:54:27.52
VNM,PZENA EMERGING MARKETS VALUE FUND - MF,24813830,0.00011873,2026-04-23T11:03:07.56
VNM,Lê Quang Thanh Trúc,222037,0.0001062,2026-01-27T10:30:58.37
VNM,Trịnh Quốc Dũng,241950,0.0001,2025-10-05T17:26:41.38
VNM,Phan Minh Tiên,115716,0.0001,2025-10-05T12:54:27.52
VNM,Quỹ ETF SSIAM VNX50,145692,8.36648e-05,2020-07-14T15:05:24.437
VNM,Quỹ Đầu tư Chủ động VND,145076,8.331e-05,2026-05-18T14:10:19.22
VNM,Phạm Phú Tuấn,84820,7.06751e-05,2015-09-14T00:00:00
VNM,NYC-FIR-PZENA-EM ACV,3374580,6.47e-05,2026-04-23T10:28:06.543
VNM,Bùi Thị Hương,134176,6.42e-05,2026-01-27T10:30:34.883
VNM,Pension Reserves Investment Trust Fund,10405630,4.979e-05,2026-04-23T11:03:24.103
VNM,Công ty TNHH Quản lý Quỹ Bảo Việt,54726,4.55997e-05,2015-06-15T00:00:00
VNM,Quỹ Đầu tư Cân bằng Chiến Lược VCBF,77964,4.477e-05,2026-05-18T14:10:19.22
VNM,SEI INSTITUTIONAL INVESTMENTS TRUST - WORLD EQUITY EX-US FUND,7589930,3.63e-05,2026-04-23T10:47:41.72
VNM,Quỹ Đầu tư Cổ phiếu Năng động Bảo Việt,57012,3.27396e-05,2020-07-14T15:05:24.437
VNM,Nguyễn Trung Kiên,38880,3e-05,2025-10-05T12:54:27.52
VNM,Quỹ Đầu tư Cân bằng Bản Việt,48000,2.75644e-05,2020-07-14T15:05:24.437
VNM,Quỹ Đầu tư Cổ phiếu Manulife,47910,2.75127e-05,2020-07-14T15:05:24.437
VNM,Quỹ Đầu tư Tăng trưởng DFVN,47000,2.69901e-05,2020-07-14T15:05:24.437
VNM,Quỹ Đầu tư Cổ phiếu Triển vọng Bảo Việt,45000,2.58416e-05,2020-07-14T15:05:24.437
VNM,Nguyễn Thị Tuyết Mai,35000,2.4e-05,2025-10-05T12:54:27.52
VNM,Quỹ Đầu tư Năng động Eastspring Investments Việt Nam,41720,2.3958e-05,2020-07-14T15:05:24.437
VNM,MDPIM EMERGING MARKETS EQUITY POOL,4899360,2.34e-05,2026-04-23T10:46:17.65
VNM,Công ty TNHH MTV Quản Lý Quỹ Ngân Hàng Thương Mại Cổ phần Công Thương Việt Nam,25200,2.09975e-05,2015-06-15T00:00:00
VNM,NYC-ERS-PZENA-EM ACV,4217470,2.08e-05,2026-04-23T10:30:36.773
VNM,PZENA EMERCING MARKETS FOCUSED VALUE FUND - UCITS,3853110,1.844e-05,2026-04-23T11:03:15
VNM,PZENA EMERCING MARKETS VALUE FUND - AUS,3817890,1.83e-05,2026-04-23T10:34:45.577
VNM,BROWN ADVISORY EMERGING MARKETS SELECT FUND,2947290,1.41e-05,2026-04-23T10:15:39.64
VNM,HOOGOVENS PZENA,2780380,1.33e-05,2026-04-23T10:48:59.383
VNM,VANGUARD GLOBAL EMERGING MARKETS FUND,2119390,1.01e-05,2026-04-23T10:53:24.79
VNM,VANGUARD EMERGING MARKETS SELECT STOCK FUND,1915970,9.2e-06,2026-04-23T10:51:56.69
VNM,FIDELITY COMMON CONTRACTUAL FUND II - FIDELITY GLOBAL EMERGING MARKETS EQUITY FUND,1666970,8e-06,2026-04-23T10:17:48.853
VNM,MGI EMERCING MARKETS EQUITY FUND,1652320,7.9e-06,2026-04-23T10:21:21.917
VNM,BARCLAYS MULTI MANAGER FUND PLC - GLOBAL  ACCESS EM EQUITY FUND - PZENA,1636960,7.8e-06,2026-04-23T10:12:49.69
VNM,MERCER EMERCING MARKETS FUND,1463307,7e-06,2026-04-23T10:20:00.337
VNM,MERCER EMERCINC MARKETS EQUITY FUND,1455630,7e-06,2026-04-23T10:32:14.563
VNM,PZENA INTERNATIONAL VALUE ALL COUNTRY (EX-U.S.) - CIT,1377740,6.6e-06,2026-04-23T10:41:46.63
VNM,Ngô Thị Thu Trang,9453,6.5e-06,2025-10-05T12:54:27.52
VNM,NYC-POL-PZENA-EM ACV,2203330,5.4e-06,2026-04-23T10:29:21.833
VNM,NTCC COLLECTIVE FUNDS FOR EMPLOYEE BENEFIT TRUSTS,843640,4e-06,2026-04-23T10:26:38.24
VNM,PZENA INTERNATIONAL VALUE ALL COUNTRY (EX-U.S.) FUND,842630,4e-06,2026-04-23T10:42:50.753
VNM,PZENA EMERCING MARKETS SELECT VALUE - CIT,660240,3.2e-06,2026-04-23T10:37:29.39
VNM,Mai Quang Liêm,5786,2.7e-06,2025-10-05T12:54:27.52
VNM,PZENA EMERCING MARKETS SELECT VALUE FUND - UCITS,335910,1.6e-06,2026-04-23T10:39:02.54
VNM,UNIVERSAL INVESTMENT GESELLSCHAFT MBH SANOFI,292640,1.4e-06,2026-04-23T10:50:48.35
VNM,WILSHIRE MUTUAL FUNDS - INTERNATIONAL EQUITY FUND,187500,9e-07,2026-04-23T10:54:56.497
VNM,NTGAI DFC EMERGING MARKETS EQUITY FUND,134770,6e-07,2026-04-23T10:25:18.82
