symbol,name,rate,sub_symbol
VNM,Driftwood Dairy Holdings Corporation,1.0,DRIFTW
VNM,Công ty TNHH MTV Bò Sữa Thống Nhất Thanh Hoá,1.0,TNTHCM
VNM,"Angkor Dairy Products Co., Ltd",1.0,ANGKORDP
VNM,Công ty TNHH MTV Bò Sữa Việt Nam,1.0,VNMC
VNM,"Lao-Jagro Development Xiengkhouang Co.,ltd",0.9207,LAOJAGRO
VNM,Tổng Công ty Chăn nuôi Việt Nam - Công ty Cổ phần,0.6894,VILICO
VNM,Công ty Cổ phần Đường Việt Nam,0.65,VIETSUGAR
VNM,Công ty Cổ phần Chế Biến Dừa Á Châu,0.2496,ASIACOCONUT
VNM,Công ty Cổ phần APIS,0.2,APIS
VNM,Miraka Holding Limited,0.1355,F000001208
