date,open,high,low,close,volume,sma_10,sma_20,ema_20,macd_histogram,rsi_14,atr_14,cci_14,momentum_10,roc_12,obv,log_return,body_size,daily_range,upper_shadow,lower_shadow,rolling_std_20,historical_volatility_20,return_lag_1,return_lag_2,return_lag_3,return_lag_4,return_lag_5,rolling_max_20,rolling_min_20,rolling_mean_20,distance_from_high_20,distance_from_low_20,volume_sma_20,volume_ratio,volume_change,price_volume,vnindex,vnindex_volume,vnindex_return,correlation_market_20,beta_20,day_of_week
10/29/2021,70.98,71.29,70.75,71.06,3748500,,,71.06,0,,,,,,0,,0.08,0.54,0.23,0.23,,,,,,,,,,,,,,,,266368410,1444.27,904699600,,,,4
11/1/2021,71.14,71.53,70.35,70.51,5083800,,,71.00761905,-0.035099715,,,,,,-5083800,-0.007770047,-0.63,1.18,0.39,0.16,,,,,,,,,,,,,,,0.356222489,358458738,1438.97,1052909000,-0.003669674,,,0
11/2/2021,70.51,70.51,69.73,69.88,4888900,,,70.90022676,-0.09538468,,,,,,-9972700,-0.008975058,-0.63,0.78,0,0.15,,,-0.007739938,,,,,,,,,,,,-0.038337464,341636332,1452.46,942151100,0.009374761,,,1
11/3/2021,69.81,70.12,69.1,69.1,5547900,,,70.72877659,-0.177650283,,,,,,-15520600,-0.011224754,-0.71,1.02,0.31,0,,,-0.008934903,-0.007739938,,,,,,,,,,,0.134795148,383359890,1444.3,1412338600,-0.005618055,,,2
11/4/2021,69.26,69.49,69.02,69.26,2513000,,,70.58889311,-0.208986921,,,,,,-13007600,0.002312808,0,0.47,0.23,0.24,,,-0.011161992,-0.008934903,-0.007739938,,,,,,,,,,-0.547035815,174050380,1448.34,863608400,0.002797203,,,3
11/5/2021,69.41,70.04,69.34,69.88,2654600,,,70.52137948,-0.176927102,,,,,,-10353000,0.008911946,0.47,0.7,0.16,0.07,,,0.002315485,-0.011161992,-0.008934903,-0.007739938,,,,,,,,,0.056346996,185503448,1456.51,814437100,0.005640941,,,4
11/8/2021,70.28,71.37,70.2,71.14,6171800,,,70.58029572,-0.065565684,,,,,,-4181200,0.017870281,0.86,1.17,0.23,0.08,,,0.008951776,0.002315485,-0.011161992,-0.008934903,-0.007739938,,,,,,,,1.324945378,439061852,1467.57,972340900,0.007593494,,,0
11/9/2021,71.29,71.37,70.28,70.35,3695000,,,70.55836279,-0.041014083,,,,,,-7876200,-0.011166983,-0.94,1.09,0.08,0.07,,,0.01803091,0.008951776,0.002315485,-0.011161992,-0.008934903,,,,,,,,-0.40130918,259943250,1461.5,971430000,-0.004136089,,,1
11/10/2021,70.51,70.59,69.96,70.28,2666100,,,70.53185205,-0.026118031,,,,,,-10542300,-0.00099552,-0.23,0.63,0.08,0.32,,,-0.011104864,0.01803091,0.008951776,0.002315485,-0.011161992,,,,,,,,-0.278457375,187373508,1465.02,926684900,0.002408484,,,2
11/11/2021,70.35,70.82,69.96,70.2,3380600,70.166,,70.50024709,-0.018633414,,,,,,-13922900,-0.001138952,-0.15,0.86,0.47,0.24,,,-0.000995025,-0.011104864,0.01803091,0.008951776,0.002315485,,,,,,,,0.267994449,237318120,1462.35,1172790500,-0.001822501,,,3
11/12/2021,70.51,70.59,69.81,69.96,2120400,70.056,,70.44879499,-0.026354855,,,,-1.1,,-16043300,-0.003424661,-0.55,0.78,0.08,0.15,,,-0.001138304,-0.000995025,-0.011104864,0.01803091,0.008951776,,,,,,,,-0.372774064,148343184,1473.37,881068600,0.007535816,,,4
11/15/2021,70.12,70.2,69.73,69.73,3268000,69.978,,70.38033832,-0.042504142,,,,-0.78,,-19311300,-0.003293009,-0.39,0.47,0.08,0,,,-0.003418803,-0.001138304,-0.000995025,-0.011104864,0.01803091,,,,,,,,0.541218638,227877640,1476.57,1115831700,0.002171892,,,0
11/16/2021,69.73,69.96,69.34,69.41,3251700,69.931,,70.28792515,-0.068735982,,,,-0.47,-2.321981424,-22563000,-0.004599692,-0.32,0.62,0.23,0.07,,,-0.003287593,-0.003418803,-0.001138304,-0.000995025,-0.011104864,,,,,,,,-0.00498776,225700497,1466.45,1126970500,-0.006853722,,,1
11/17/2021,69.41,70.2,69.41,69.57,2514400,69.978,,70.21955133,-0.069123112,37.35144312,0.821428571,-57.97250859,0.47,-1.333144235,-20048600,0.002302491,0.16,0.79,0.63,0,,,-0.004589129,-0.003287593,-0.003418803,-0.001138304,-0.000995025,,,,,,,,-0.226742934,174926808,1475.85,801112100,0.006410038,,,2
11/18/2021,69.57,69.57,68.94,68.94,3900000,69.946,,70.09768929,-0.103549395,33.74233129,0.827857143,-124.0896359,-0.32,-1.345163137,-23948600,-0.009096879,-0.63,0.63,0,0,,,0.002305143,-0.004589129,-0.003287593,-0.003418803,-0.001138304,,,,,,,,0.551065861,268866000,1469.83,1018526500,-0.004079005,,,3
11/19/2021,68.94,69.26,67.38,67.46,5151200,69.704,,69.84648079,-0.211515079,29.53020134,0.877857143,-225.7277854,-2.42,-2.373371925,-29099800,-0.021701731,-1.48,1.88,0.32,0.08,,,-0.009055627,0.002305143,-0.004589129,-0.003287593,-0.003418803,,,,,,,,0.320820513,347499952,1452.35,1454744900,-0.011892532,,,4
11/22/2021,67.38,67.77,67.3,67.53,3497600,69.343,,69.62586357,-0.260514632,32.94629898,0.855714286,-206.0083384,-3.61,-2.497834248,-25602200,0.001037114,0.15,0.47,0.24,0.08,,,-0.021467943,-0.009055627,0.002305143,-0.004589129,-0.003287593,,,,,,,,-0.32101258,236192928,1447.25,1179261600,-0.00351155,,,0
11/23/2021,67.77,67.93,67.38,67.61,2198800,69.069,,69.43387657,-0.268754777,37.9644588,0.822142857,-147.971198,-2.74,-3.248425873,-23403400,0.001183958,-0.16,0.55,0.16,0.23,,,0.001037652,-0.021467943,-0.009055627,0.002305143,-0.004589129,,,,,,,,-0.371340348,148660868,1463.63,812872100,0.011318017,,,1
